#{"t_start": 1677972172.8311899, "env_id": "DeepRMSA-v0"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate
-24,50,89.828519,0.74,0.8709994636152333
-26,50,90.684062,0.76,0.8553765455226676
-26,50,91.600953,0.76,0.8148363918827071
-26,50,92.463107,0.76,0.8068705882352941
-20,50,93.546704,0.7,0.7765830346475507
-30,50,95.290064,0.8,0.8674532214950686
-34,50,96.3503,0.84,0.9011576135351737
-18,50,97.212171,0.68,0.7045287380477041
-18,50,98.085564,0.68,0.7317028319235013
-28,50,99.015651,0.78,0.826392275431581
-28,50,99.95253,0.78,0.8430436740207113
-30,50,100.870569,0.8,0.8567385921471524
-34,50,101.87967,0.84,0.8876903553299492
-22,50,102.907824,0.72,0.7819489518463293
-24,50,103.907724,0.74,0.8532652512765385
-30,50,104.858688,0.8,0.8308274144451618
-28,50,105.982537,0.78,0.7931140171638741
-22,50,107.812471,0.72,0.8093608454957222
-20,50,108.888626,0.7,0.8118508259966367
-26,50,109.832376,0.76,0.8005626151906101
-30,50,110.882982,0.8,0.8631446276651612
-26,50,111.910707,0.76,0.8054048722753723
-36,50,112.934504,0.86,0.9095972970504976
-22,50,113.926982,0.72,0.8271870040145645
-32,50,114.94004,0.82,0.8800383877159309
-14,50,115.859932,0.64,0.6634988759452278
-28,50,116.89712,0.78,0.8082990397805213
-26,50,117.879452,0.76,0.7904895948527194
-20,50,119.674216,0.7,0.8116154221571499
-28,50,121.077855,0.78,0.8465213746856664
-30,50,122.146002,0.8,0.8258690886313812
-26,50,123.158341,0.76,0.8112647209421403
-32,50,124.241932,0.82,0.8680505415162455
-22,50,125.251843,0.72,0.8312418866291649
-32,50,126.342571,0.82,0.8564519249371252
-28,50,127.39742,0.78,0.8250989051430674
-28,50,128.465359,0.78,0.7801178781925344
-28,50,129.534586,0.78,0.8713826366559485
-24,50,130.70296,0.74,0.7988346829942722
-22,50,132.818483,0.72,0.7432407059707097
-36,50,134.089036,0.86,0.8999113475177305
-24,50,135.136888,0.74,0.8089241719134957
-26,50,136.208693,0.76,0.8062798384135145
-26,50,137.290478,0.76,0.8502299731697969
-24,50,138.422873,0.74,0.7885260370697263
-16,50,139.458339,0.66,0.7610966057441253
-14,50,140.478857,0.64,0.6868352398153723
-30,50,141.603754,0.8,0.8518130187854959
-34,50,142.761954,0.84,0.8943632997325653
