#{"t_start": 1675657111.8091497, "env_id": "DeepRMSAKSP-v1"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate,num_C_selected,num_L_selected,num_S_selected,num_E_selected,num_path1_selected,num_path2_selected,num_path3_selected,num_path4_selected,num_path5_selected,total_path_length_per_episode
50,50,0.864266,0.0,0.0,50,0,0,0,50,0,0,0,0,21257
50,50,1.312606,0.0,0.0,50,0,0,0,50,0,0,0,0,22814
50,50,1.770386,0.0,0.0,50,0,0,0,50,0,0,0,0,21534
50,50,2.227962,0.0,0.0,50,0,0,0,50,0,0,0,0,20297
50,50,2.673473,0.0,0.0,50,0,0,0,50,0,0,0,0,23260
50,50,3.112092,0.0,0.0,50,0,0,0,50,0,0,0,0,17807
50,50,3.595928,0.0,0.0,50,0,0,0,49,0,0,0,1,20931
50,50,4.064082,0.0,0.0,46,4,0,0,41,3,3,3,0,22554
50,50,4.55485,0.0,0.0,39,11,0,0,39,7,1,2,1,21076
50,50,5.034903,0.0,0.0,40,10,0,0,43,3,2,1,1,22706
50,50,5.519846,0.0,0.0,37,13,0,0,41,4,2,2,1,20936
50,50,6.020466,0.0,0.0,31,19,0,0,42,3,2,2,1,22257
50,50,6.532022,0.0,0.0,25,25,0,0,45,1,2,1,1,20828
50,50,7.035096,0.0,0.0,32,18,0,0,37,6,2,2,3,23290
50,50,7.567748,0.0,0.0,29,21,0,0,39,5,3,1,2,23836
50,50,8.062036,0.0,0.0,29,21,0,0,39,6,0,5,0,20223
50,50,8.578021,0.0,0.0,21,29,0,0,40,4,2,1,3,22954
50,50,9.082048,0.0,0.0,26,24,0,0,40,5,1,4,0,23309
50,50,9.620287,0.0,0.0,17,33,0,0,44,2,2,1,1,21784
50,50,10.142468,0.0,0.0,22,27,1,0,38,6,3,3,0,22429
50,50,10.663605,0.0,0.0,22,19,9,0,33,3,6,4,4,22828
50,50,11.177614,0.0,0.0,23,21,6,0,28,10,5,5,2,24923
50,50,11.708969,0.0,0.0,19,23,8,0,32,10,3,4,1,24638
50,50,12.264357,0.0,0.0,14,25,11,0,36,4,4,3,3,24009
50,50,12.856529,0.0,0.0,15,25,10,0,41,5,2,2,0,22130
50,50,13.418093,0.0,0.0,16,27,7,0,35,5,2,8,0,21841
50,50,13.995744,0.0,0.0,24,16,10,0,38,6,2,3,1,21771
50,50,14.562483,0.0,0.0,15,26,9,0,34,9,4,2,1,23571
50,50,15.134494,0.0,0.0,12,32,6,0,35,5,1,4,5,24608
50,50,15.694341,0.0,0.0,15,26,9,0,42,1,2,5,0,23118
50,50,16.26211,0.0,0.0,12,28,10,0,37,6,3,3,1,24341
50,50,16.832494,0.0,0.0,10,29,11,0,41,5,1,0,3,22107
50,50,17.406134,0.0,0.0,13,22,15,0,40,4,3,2,1,21415
50,50,17.974854,0.0,0.0,16,20,14,0,36,6,4,0,4,23708
50,50,18.568716,0.0,0.0,10,25,15,0,39,4,2,3,2,23132
50,50,19.140908,0.0,0.0,12,20,18,0,38,8,2,1,1,23634
50,50,19.729617,0.0,0.0,7,27,16,0,30,10,1,6,3,25875
50,50,20.304077,0.0,0.0,10,22,18,0,36,6,4,2,2,23409
50,50,20.903474,0.0,0.0,9,24,17,0,39,6,2,1,2,21935
50,50,21.489631,0.0,0.0,19,16,15,0,38,4,4,2,2,21689
50,50,22.082321,0.0,0.0,13,15,22,0,42,1,4,1,2,21335
50,50,22.678591,0.0,0.0,13,23,14,0,37,2,6,3,2,23638
50,50,23.276835,0.0,0.0,15,15,20,0,37,7,3,2,1,22843
50,50,23.853453,0.0,0.0,19,12,19,0,42,2,1,3,2,23902
50,50,24.449445,0.0,0.0,9,14,26,1,33,7,5,3,2,24173
50,50,25.037677,0.0,0.0,18,13,18,1,34,8,2,3,3,22060
50,50,25.657492,0.0,0.0,12,14,20,4,35,7,3,3,2,23764
50,50,26.314711,0.0,0.0,9,17,18,6,39,4,3,3,1,22476
50,50,26.930122,0.0,0.0,16,11,15,8,31,11,4,2,2,21766
50,50,27.543734,0.0,0.0,15,13,15,7,34,8,4,1,3,21846
50,50,28.177671,0.0,0.0,9,11,24,6,36,8,3,1,2,23806
50,50,28.778477,0.0,0.0,18,12,12,8,33,10,5,1,1,22579
50,50,29.389341,0.0,0.0,8,17,15,10,42,2,2,3,1,20795
50,50,30.029092,0.0,0.0,7,12,22,9,33,8,4,3,2,24629
50,50,30.666129,0.0,0.0,12,15,16,7,34,8,5,3,0,24232
50,50,31.322037,0.0,0.0,4,12,22,12,28,10,2,5,5,26596
50,50,31.936199,0.0,0.0,7,21,14,8,37,5,3,2,3,22120
50,50,32.560635,0.0,0.0,11,19,18,2,36,8,3,3,0,21067
50,50,33.183439,0.0,0.0,15,13,16,6,43,1,3,2,1,21575
50,50,33.810998,0.0,0.0,14,12,17,7,35,6,6,2,1,23460
50,50,34.462667,0.0,0.0,8,13,18,11,32,8,4,0,6,23917
50,50,35.086666,0.0,0.0,10,12,20,8,32,7,5,4,2,23622
50,50,35.747373,0.0,0.0,8,5,27,10,37,4,2,4,3,23764
50,50,36.381327,0.0,0.0,15,5,20,10,40,2,1,2,5,21665
50,50,37.031023,0.0,0.0,11,8,25,6,40,3,3,1,3,21322
50,50,37.685793,0.0,0.0,10,12,19,9,37,3,3,1,6,23574
50,50,38.36915,0.0,0.0,9,5,27,9,44,1,1,3,1,23726
50,50,39.003727,0.0,0.0,14,11,18,7,38,4,4,3,1,22471
50,50,39.669837,0.0,0.0,10,10,18,12,40,4,1,2,3,20439
50,50,40.312743,0.0,0.0,7,12,22,9,39,7,1,2,1,20519
50,50,40.930652,0.0,0.0,16,7,16,11,37,8,3,1,1,21974
50,50,41.569078,0.0,0.0,12,8,16,14,43,4,0,2,1,21703
50,50,42.226406,0.0,0.0,4,16,17,13,40,3,1,3,3,23076
50,50,42.911845,0.0,0.0,15,11,17,7,37,7,3,2,1,22504
50,50,43.631947,0.0,0.0,10,10,19,11,34,8,4,1,3,24214
50,50,44.308486,0.0,0.0,7,12,23,8,36,5,3,4,2,22451
50,50,44.955806,0.0,0.0,9,10,11,20,41,4,5,0,0,21358
50,50,45.634702,0.0,0.0,8,11,16,15,36,6,4,3,1,21662
50,50,46.306228,0.0,0.0,14,7,12,17,39,4,2,3,2,23589
50,50,47.035126,0.0,0.0,9,8,17,16,34,9,3,3,1,22768
48,50,47.721429,0.02,0.03125309069330432,13,7,12,17,32,7,2,4,4,23609
50,50,48.431198,0.0,0.0,8,9,23,10,30,9,6,5,0,24928
48,50,49.089184,0.02,0.03049924924924925,10,12,11,16,37,5,4,3,0,20438
42,50,49.750364,0.08,0.08794788273615635,6,12,11,17,28,5,5,5,3,22841
46,50,50.422614,0.04,0.06268841993261216,8,11,13,16,23,5,9,8,3,24099
38,50,51.05243,0.12,0.18798707470062725,10,8,11,15,31,6,4,2,1,17552
44,50,51.706588,0.06,0.09638434868746905,10,13,8,16,26,8,10,2,1,22657
32,50,52.374501,0.18,0.19659101790673178,11,6,18,6,28,4,5,1,3,18078
38,50,53.027496,0.12,0.19632783984072558,16,6,12,10,27,7,5,1,4,18667
32,50,53.68647,0.18,0.19540023358188843,14,10,6,11,33,5,2,1,0,13642
36,50,54.320251,0.14,0.16204862352520558,10,12,10,11,29,5,2,4,3,18437
28,50,54.94606,0.22,0.24342619109606872,8,10,15,6,22,7,3,5,2,18091
30,50,55.587009,0.2,0.24347014925373134,11,9,12,8,31,3,4,1,1,13911
36,50,56.225985,0.14,0.15431816100375492,12,9,9,13,20,8,6,4,5,21612
44,50,56.883609,0.06,0.07300928670223276,9,17,12,9,32,3,5,3,4,20367
36,50,57.529121,0.14,0.1436871044714182,11,7,16,9,20,11,2,5,5,20864
28,50,58.134256,0.22,0.22599908130454754,10,2,12,15,23,5,2,3,6,19367
34,50,58.786943,0.16,0.19978969505783387,9,6,11,16,24,5,4,4,5,20536
32,50,59.457853,0.18,0.2231404958677686,5,14,13,9,25,4,11,1,0,20492
40,50,60.107839,0.1,0.14794902429311033,9,10,14,12,29,8,4,3,1,21515
36,50,60.759345,0.14,0.13553370786516855,4,12,16,11,31,7,0,4,1,19744
40,50,61.401981,0.1,0.10656499907011345,14,5,9,17,31,3,4,1,6,21127
42,50,62.046764,0.08,0.12569437906035213,10,10,15,11,35,6,1,3,1,17944
42,50,62.711114,0.08,0.0909005804156525,14,11,5,16,31,4,2,2,7,20236
40,50,63.355011,0.1,0.1178147268408551,10,9,10,16,31,3,5,3,3,20231
42,50,64.010897,0.08,0.12903857450558057,8,11,14,13,29,5,4,6,2,21454
36,50,64.658526,0.14,0.17466115543593194,8,13,14,8,30,5,4,4,0,20635
40,50,65.312958,0.1,0.1332844813548282,6,10,11,18,33,1,4,4,3,20266
40,50,65.985234,0.1,0.1436077057793345,13,8,10,14,32,8,2,1,2,20348
34,50,66.644576,0.16,0.19109443148392333,10,7,10,15,23,6,6,2,5,20533
32,50,67.287558,0.18,0.21497345451273284,10,6,7,18,30,4,2,0,5,17793
36,50,67.967506,0.14,0.13165365507452093,9,4,10,20,25,3,7,3,5,21212
28,50,68.619402,0.22,0.2957696091583937,8,7,10,14,20,8,5,2,4,20515
28,50,69.239328,0.22,0.21856961158399374,12,11,8,8,26,9,4,0,0,15939
38,50,69.946303,0.12,0.12965031360082482,9,12,13,10,32,4,4,1,3,17610
32,50,70.599031,0.18,0.2167981438515081,11,8,10,12,35,2,1,1,2,17083
22,50,71.192522,0.28,0.37097470430803764,12,10,5,9,31,3,1,0,1,12801
30,50,71.828671,0.2,0.28933127174333206,8,7,15,10,27,6,3,1,3,18225
30,50,72.472939,0.2,0.2258008356545961,13,3,10,14,28,5,3,4,0,17886
40,50,73.178713,0.1,0.14902441323404655,12,16,10,7,32,7,4,1,1,18217
38,50,73.887293,0.12,0.16764490095377843,8,13,15,8,27,7,4,6,0,21436
30,50,74.539055,0.2,0.20295963285567106,5,14,8,13,29,5,5,1,0,16750
34,50,75.19116,0.16,0.19618777248301733,12,12,11,7,32,8,0,2,0,15869
30,50,75.840466,0.2,0.29767173369251493,13,12,4,11,28,5,5,2,0,16801
26,50,76.482749,0.24,0.26348467209934034,9,10,7,12,23,8,1,3,3,16998
32,50,77.145648,0.18,0.23391812865497075,10,7,11,13,31,5,2,1,2,16789
18,50,77.772241,0.32,0.34798572157062724,7,13,8,6,24,5,3,0,2,15690
26,50,78.387671,0.24,0.316082876521416,10,12,9,7,26,9,2,0,1,15180
16,50,78.98765,0.34,0.371494875265906,8,11,7,7,24,4,0,2,3,12989
32,50,79.66738,0.18,0.23776091081593928,14,7,8,12,31,7,1,1,1,18076
12,50,80.313092,0.38,0.44886363636363635,11,4,6,10,20,6,3,1,1,14037
28,50,80.999095,0.22,0.2857914640734738,13,9,6,11,24,5,4,1,5,17132
16,50,81.647208,0.34,0.4835714285714286,10,7,6,10,26,2,2,0,3,15877
40,50,82.382282,0.1,0.10379724162636575,9,13,8,15,31,3,4,6,1,21306
28,50,83.015378,0.22,0.2926580210354335,14,11,7,7,29,6,1,2,1,14072
20,50,83.626608,0.3,0.35667018317828714,13,9,5,8,29,3,3,0,0,13858
20,50,84.311363,0.3,0.37205567451820126,6,11,9,9,21,6,3,1,4,16457
36,50,84.9795,0.14,0.19869437293122472,11,10,12,10,30,7,2,2,2,19530
30,50,85.641097,0.2,0.19503321733628598,6,10,5,19,29,8,3,0,0,16846
28,50,86.298163,0.22,0.3047337278106509,12,9,9,9,29,7,1,2,0,15031
18,50,86.927295,0.32,0.4018724921979492,10,6,1,17,26,4,2,1,1,14976
30,50,87.587697,0.2,0.22302529685080022,9,15,6,10,25,9,4,2,0,16511
20,50,88.210769,0.3,0.3836198379766845,13,8,8,6,28,3,2,2,0,15616
26,50,88.852809,0.24,0.25368903709879115,8,7,14,9,29,4,2,3,0,15637
18,50,89.510527,0.32,0.40187872023809523,8,10,7,9,25,6,2,0,1,13400
46,50,90.208971,0.04,0.0630690440060698,10,14,11,13,39,6,1,2,0,19507
32,50,90.861039,0.18,0.27680272791094174,11,10,8,12,32,2,4,1,2,17069
26,50,91.53351,0.24,0.3224561403508772,6,10,15,7,27,2,6,3,0,15337
26,50,92.193257,0.24,0.3440327650252405,8,11,9,10,26,3,4,2,3,17562
24,50,92.846716,0.26,0.3228449402946047,11,8,8,10,26,5,2,2,2,13822
28,50,93.499851,0.22,0.28186207524824636,8,9,10,12,29,7,1,1,1,16258
26,50,94.178705,0.24,0.34375,7,9,13,9,27,5,2,1,3,14819
32,50,94.840647,0.18,0.23999629492404595,9,11,9,12,28,5,2,2,4,19390
24,50,95.479105,0.26,0.2835820895522388,13,7,9,8,26,7,2,2,0,13707
30,50,96.122691,0.2,0.22033583820391503,7,12,10,11,28,6,3,2,1,17898
26,50,96.737975,0.24,0.326605504587156,12,8,10,8,29,4,3,2,0,15047
24,50,97.38341,0.26,0.3122875182127246,7,14,5,11,25,7,3,1,1,13815
18,50,98.001929,0.32,0.4085337325722841,9,5,11,9,25,4,0,1,4,14447
30,50,98.667789,0.2,0.2728648444150194,9,9,15,7,27,4,5,2,2,17467
24,50,99.357932,0.26,0.335311852270586,5,11,13,8,26,4,4,2,1,17993
26,50,100.006295,0.24,0.3126169973792587,9,6,11,12,24,6,7,0,1,15886
