#{"t_start": 1675656405.7858849, "env_id": "DeepRMSAKSP-v1"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate,num_C_selected,num_L_selected,num_S_selected,num_E_selected,num_path1_selected,num_path2_selected,num_path3_selected,num_path4_selected,num_path5_selected,total_path_length_per_episode
50,50,0.825838,0.0,0.0,50,0,0,0,50,0,0,0,0,21257
50,50,1.257727,0.0,0.0,50,0,0,0,50,0,0,0,0,22814
50,50,1.689702,0.0,0.0,50,0,0,0,50,0,0,0,0,21534
50,50,2.134795,0.0,0.0,50,0,0,0,50,0,0,0,0,20297
50,50,2.564452,0.0,0.0,50,0,0,0,50,0,0,0,0,23260
50,50,2.985361,0.0,0.0,50,0,0,0,50,0,0,0,0,17807
50,50,3.437928,0.0,0.0,50,0,0,0,49,0,0,0,1,20931
50,50,3.885674,0.0,0.0,46,4,0,0,42,2,3,3,0,22124
50,50,4.338799,0.0,0.0,38,12,0,0,39,7,1,2,1,21076
50,50,4.7987,0.0,0.0,41,9,0,0,42,3,2,2,1,23042
50,50,5.261228,0.0,0.0,39,11,0,0,40,5,1,2,2,21163
50,50,5.729787,0.0,0.0,31,19,0,0,44,2,1,2,1,21868
50,50,6.208308,0.0,0.0,27,23,0,0,46,0,1,0,3,20796
50,50,6.670266,0.0,0.0,30,20,0,0,36,6,3,1,4,23400
50,50,7.15778,0.0,0.0,28,22,0,0,41,6,1,1,1,23255
50,50,7.642896,0.0,0.0,28,22,0,0,41,5,1,3,0,20389
50,50,8.154271,0.0,0.0,21,29,0,0,42,4,0,3,1,22508
50,50,8.649796,0.0,0.0,26,24,0,0,39,6,1,3,1,23329
50,50,9.163772,0.0,0.0,20,30,0,0,42,3,2,2,1,22014
50,50,9.664728,0.0,0.0,20,29,1,0,38,7,3,1,1,22465
50,50,10.183401,0.0,0.0,21,19,10,0,31,5,3,7,4,23902
50,50,10.702522,0.0,0.0,22,25,3,0,28,8,7,4,3,24961
50,50,11.234576,0.0,0.0,26,19,5,0,30,11,4,3,2,25115
50,50,11.768056,0.0,0.0,19,21,10,0,36,7,1,3,3,23335
50,50,12.296065,0.0,0.0,15,29,6,0,39,6,3,2,0,22245
50,50,12.816865,0.0,0.0,19,23,8,0,33,8,1,7,1,21607
50,50,13.356897,0.0,0.0,26,14,10,0,34,4,5,5,2,22989
50,50,13.880717,0.0,0.0,13,29,8,0,38,9,3,0,0,22848
50,50,14.445126,0.0,0.0,13,31,6,0,37,6,2,2,3,23250
50,50,14.971121,0.0,0.0,18,23,9,0,41,2,3,4,0,23270
50,50,15.533873,0.0,0.0,12,29,9,0,38,3,4,4,1,24708
50,50,16.071572,0.0,0.0,16,26,8,0,36,5,1,1,7,23167
50,50,16.615232,0.0,0.0,20,19,11,0,39,6,1,3,1,20932
50,50,17.145543,0.0,0.0,17,20,13,0,39,7,3,0,1,22190
50,50,17.743866,0.0,0.0,10,24,16,0,40,4,1,2,3,22816
50,50,18.290235,0.0,0.0,10,21,19,0,41,4,3,0,2,23712
50,50,18.859543,0.0,0.0,10,28,12,0,39,5,2,2,2,24996
50,50,19.423343,0.0,0.0,8,28,14,0,36,8,4,1,1,22909
50,50,19.974282,0.0,0.0,11,17,22,0,41,5,1,0,3,21764
50,50,20.544417,0.0,0.0,18,19,13,0,33,7,4,4,2,22078
50,50,21.104501,0.0,0.0,10,21,19,0,40,2,4,2,2,21583
50,50,21.679232,0.0,0.0,15,22,13,0,36,6,5,1,2,23220
50,50,22.24826,0.0,0.0,14,15,21,0,37,7,3,2,1,22574
50,50,22.812325,0.0,0.0,16,13,21,0,38,5,1,4,2,24720
50,50,23.393647,0.0,0.0,9,21,20,0,37,4,6,1,2,23622
50,50,23.975751,0.0,0.0,20,16,13,1,37,9,1,2,1,21208
50,50,24.557677,0.0,0.0,15,12,22,1,31,10,5,3,1,25203
50,50,25.140579,0.0,0.0,8,22,19,1,32,5,7,5,1,24137
50,50,25.722838,0.0,0.0,16,12,15,7,36,9,3,2,0,20691
50,50,26.302227,0.0,0.0,19,10,15,6,33,6,5,2,4,22315
50,50,26.891496,0.0,0.0,9,22,11,8,34,8,3,2,3,24284
50,50,27.465924,0.0,0.0,19,11,13,7,35,7,4,2,2,23042
50,50,28.03964,0.0,0.0,15,15,13,7,38,3,5,3,1,21101
50,50,28.644029,0.0,0.0,9,15,17,9,34,9,5,0,2,23762
50,50,29.255709,0.0,0.0,12,17,13,8,37,4,3,4,2,24131
50,50,29.860552,0.0,0.0,12,8,19,11,31,8,1,4,6,25834
50,50,30.4577,0.0,0.0,12,17,12,9,38,3,6,1,2,22002
50,50,31.03064,0.0,0.0,11,22,15,2,34,9,4,3,0,21214
50,50,31.644821,0.0,0.0,13,16,16,5,44,1,2,2,1,21134
50,50,32.233161,0.0,0.0,14,14,16,6,36,5,6,1,2,23108
50,50,32.846879,0.0,0.0,9,12,18,11,35,5,3,1,6,23668
50,50,33.455938,0.0,0.0,10,15,17,8,36,7,5,1,1,22394
50,50,34.102148,0.0,0.0,8,8,25,9,42,1,1,2,4,23312
50,50,34.717001,0.0,0.0,16,10,15,9,40,2,3,2,3,21480
50,50,35.326876,0.0,0.0,14,14,15,7,37,7,0,1,5,21903
50,50,35.92777,0.0,0.0,15,11,16,8,39,3,2,4,2,22755
50,50,36.544813,0.0,0.0,7,9,26,8,37,5,5,1,2,24986
50,50,37.165354,0.0,0.0,12,12,18,8,40,2,2,4,2,22552
50,50,37.809026,0.0,0.0,10,14,18,8,39,2,3,3,3,20769
50,50,38.446182,0.0,0.0,9,15,21,5,35,7,3,1,4,21749
50,50,39.063797,0.0,0.0,16,8,16,10,40,4,3,1,2,22158
50,50,39.680723,0.0,0.0,12,14,12,12,44,1,1,3,1,21568
50,50,40.333755,0.0,0.0,8,10,22,10,37,3,4,3,3,23835
50,50,40.951304,0.0,0.0,18,11,18,3,39,3,4,3,1,22624
50,50,41.587268,0.0,0.0,11,11,17,11,43,1,2,3,1,22908
50,50,42.217252,0.0,0.0,13,11,19,7,36,6,5,1,2,22110
50,50,42.857874,0.0,0.0,12,8,14,16,40,5,4,1,0,21638
50,50,43.488453,0.0,0.0,13,9,18,10,37,4,4,3,2,22320
50,50,44.134984,0.0,0.0,13,9,19,9,34,5,3,4,4,24469
50,50,44.86115,0.0,0.0,11,10,17,12,40,6,1,2,1,21568
50,50,45.580543,0.0,0.0,12,13,10,15,43,3,3,1,0,20927
50,50,46.225513,0.0,0.0,8,12,25,5,35,7,4,4,0,23588
50,50,46.855591,0.0,0.0,14,13,12,11,44,2,2,2,0,19958
44,50,47.5138,0.06,0.07423281330361735,5,10,16,16,37,4,3,2,1,21307
46,50,48.178658,0.04,0.06268841993261216,9,9,15,15,28,5,3,8,4,23227
48,50,48.829065,0.02,0.036304885002851166,13,10,12,14,35,3,7,2,2,20491
46,50,49.489676,0.04,0.06696384348687469,14,9,16,9,26,6,9,5,2,23929
44,50,50.134732,0.06,0.05707172268505219,13,11,10,13,32,3,2,6,4,21842
48,50,50.772755,0.02,0.039265567968145114,17,10,11,11,33,6,3,4,3,20626
36,50,51.426907,0.14,0.15263678016350732,11,14,8,10,33,2,4,2,2,16481
38,50,52.053539,0.12,0.15543439399356454,7,11,14,12,27,5,4,3,5,20409
32,50,52.685756,0.18,0.21261824177731495,8,10,14,9,24,4,3,8,2,19747
26,50,53.288975,0.24,0.2866350067842605,15,12,8,3,27,4,3,2,2,13031
38,50,53.932836,0.12,0.1367341331623775,11,5,19,9,22,9,4,6,3,21116
46,50,54.623585,0.04,0.05888164394388461,13,15,12,8,32,2,5,6,3,21039
42,50,55.271562,0.08,0.07967631497043262,13,11,17,5,25,11,1,5,4,21221
38,50,55.937666,0.12,0.14083601286173633,12,5,11,16,27,6,5,2,4,21815
32,50,56.579956,0.18,0.21584934518688462,9,8,14,10,18,10,3,2,8,20784
30,50,57.204217,0.2,0.22773186409550045,12,11,14,3,27,2,8,1,2,18968
40,50,57.866076,0.1,0.14277180406212664,12,10,15,8,26,7,6,3,3,21267
40,50,58.540829,0.1,0.11543188202247191,4,15,19,7,26,16,1,2,0,21092
42,50,59.193798,0.08,0.09726613353170913,14,8,12,12,32,1,7,1,5,22042
40,50,59.827654,0.1,0.13332077958760946,12,13,13,7,32,6,3,3,1,17702
42,50,60.511119,0.08,0.09427073581726268,11,15,8,12,28,9,3,1,5,19797
42,50,61.188217,0.08,0.08798099762470309,8,13,16,9,32,4,2,2,6,20670
42,50,61.858849,0.08,0.11464656354023889,13,6,14,13,30,4,4,5,3,21311
36,50,62.525465,0.14,0.19657791021820628,14,12,11,6,27,7,4,4,1,20855
36,50,63.162725,0.14,0.16235140856538022,9,11,8,15,28,2,5,5,3,19309
40,50,63.831525,0.1,0.15020088595858658,13,9,11,12,28,7,5,1,4,20965
34,50,64.483972,0.16,0.19718024140379348,10,11,10,11,27,4,5,2,4,20672
38,50,65.135095,0.12,0.15729326014577522,12,7,8,17,28,8,3,1,4,20134
42,50,65.831778,0.08,0.09421575585521647,7,14,13,12,25,5,6,4,6,22454
36,50,66.514959,0.14,0.2025757982291387,9,8,12,14,29,9,2,3,0,20664
