#{"t_start": 1675654344.817272, "env_id": "DeepRMSAKSP-v1"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate,num_C_selected,num_L_selected,num_S_selected,num_E_selected,num_path1_selected,num_path2_selected,num_path3_selected,num_path4_selected,num_path5_selected,total_path_length_per_episode
50,50,0.900221,0.0,0.0,50,0,0,0,50,0,0,0,0,21257
50,50,1.39757,0.0,0.0,50,0,0,0,50,0,0,0,0,22814
50,50,1.826854,0.0,0.0,50,0,0,0,50,0,0,0,0,21534
50,50,2.258503,0.0,0.0,50,0,0,0,50,0,0,0,0,20297
50,50,2.696949,0.0,0.0,50,0,0,0,50,0,0,0,0,23260
50,50,3.13248,0.0,0.0,50,0,0,0,50,0,0,0,0,17807
50,50,3.587155,0.0,0.0,50,0,0,0,50,0,0,0,0,20602
50,50,4.017599,0.0,0.0,47,3,0,0,45,1,3,0,1,20956
50,50,4.475156,0.0,0.0,40,10,0,0,41,6,2,0,1,20912
50,50,4.914543,0.0,0.0,47,3,0,0,43,3,3,1,0,22329
50,50,5.377069,0.0,0.0,44,6,0,0,41,4,2,1,2,21166
50,50,5.858654,0.0,0.0,38,12,0,0,41,2,2,2,3,23062
50,50,6.33405,0.0,0.0,35,15,0,0,42,2,1,2,3,21834
50,50,6.820613,0.0,0.0,40,10,0,0,40,5,3,0,2,21920
50,50,7.298509,0.0,0.0,38,12,0,0,46,2,0,0,2,22393
50,50,7.75871,0.0,0.0,38,12,0,0,42,6,1,1,0,20347
50,50,8.235375,0.0,0.0,30,20,0,0,39,6,1,4,0,22631
50,50,8.712865,0.0,0.0,33,17,0,0,39,3,3,3,2,23579
50,50,9.201931,0.0,0.0,30,20,0,0,39,6,1,2,2,22563
50,50,9.688091,0.0,0.0,38,12,0,0,40,5,2,2,1,21836
50,50,10.177856,0.0,0.0,27,23,0,0,46,3,1,0,0,19632
50,50,10.683486,0.0,0.0,34,16,0,0,35,8,6,1,0,23310
50,50,11.179244,0.0,0.0,27,23,0,0,46,3,1,0,0,22310
50,50,11.677278,0.0,0.0,29,21,0,0,36,8,4,2,0,22531
50,50,12.173401,0.0,0.0,29,21,0,0,42,6,1,1,0,21192
50,50,12.670642,0.0,0.0,32,18,0,0,33,6,4,5,2,22283
50,50,13.180921,0.0,0.0,31,19,0,0,31,8,7,4,0,24073
50,50,13.680245,0.0,0.0,33,15,2,0,38,3,5,2,2,23811
50,50,14.206945,0.0,0.0,31,18,1,0,28,5,9,5,3,25357
50,50,14.737854,0.0,0.0,30,19,1,0,36,4,3,6,1,24116
50,50,15.258636,0.0,0.0,26,20,4,0,38,5,1,4,2,24630
50,50,15.780931,0.0,0.0,28,16,6,0,40,5,0,1,4,21270
50,50,16.302869,0.0,0.0,29,13,8,0,40,5,2,2,1,20956
50,50,16.867589,0.0,0.0,22,20,8,0,44,2,3,0,1,21491
50,50,17.398384,0.0,0.0,22,22,6,0,38,4,4,3,1,23549
50,50,17.945041,0.0,0.0,21,20,9,0,40,2,4,2,2,24161
50,50,18.489838,0.0,0.0,21,25,4,0,39,3,3,2,3,25405
50,50,19.014759,0.0,0.0,26,19,5,0,38,3,3,5,1,23386
50,50,19.55365,0.0,0.0,28,15,7,0,40,4,4,0,2,22245
50,50,20.081163,0.0,0.0,27,20,3,0,36,6,4,2,2,22747
50,50,20.62781,0.0,0.0,22,24,4,0,38,1,2,5,4,22533
50,50,21.169959,0.0,0.0,28,14,8,0,38,5,6,1,0,23333
50,50,21.751338,0.0,0.0,22,20,8,0,44,2,3,1,0,21979
50,50,22.297895,0.0,0.0,31,16,3,0,38,4,3,3,2,24289
50,50,22.853109,0.0,0.0,24,19,7,0,33,7,4,2,4,24329
50,50,23.39473,0.0,0.0,31,15,4,0,40,5,0,3,2,20949
50,50,23.937984,0.0,0.0,25,21,4,0,41,1,6,1,1,23142
50,50,24.495004,0.0,0.0,23,23,4,0,36,7,0,4,3,23269
50,50,25.054067,0.0,0.0,23,20,7,0,41,6,0,2,1,19614
50,50,25.595668,0.0,0.0,34,16,0,0,43,3,1,0,3,20404
50,50,26.150732,0.0,0.0,25,19,6,0,40,6,3,1,0,23646
50,50,26.678813,0.0,0.0,32,14,4,0,39,4,4,2,1,21212
50,50,27.242647,0.0,0.0,30,17,3,0,44,5,1,0,0,19934
50,50,27.784928,0.0,0.0,20,24,6,0,37,6,4,1,2,23689
50,50,28.335856,0.0,0.0,27,20,3,0,43,4,1,0,2,22934
50,50,28.908738,0.0,0.0,19,23,8,0,34,7,3,3,3,25275
50,50,29.466563,0.0,0.0,29,16,5,0,42,6,2,0,0,20599
50,50,30.007766,0.0,0.0,30,19,1,0,41,4,2,1,2,20092
50,50,30.621506,0.0,0.0,33,12,5,0,44,3,1,1,1,20838
50,50,31.160659,0.0,0.0,29,18,3,0,45,3,0,1,1,20907
50,50,31.738999,0.0,0.0,25,19,6,0,42,5,3,0,0,21079
50,50,32.292643,0.0,0.0,26,19,5,0,42,3,3,2,0,21188
50,50,32.863083,0.0,0.0,23,22,5,0,40,4,2,2,2,22705
50,50,33.431916,0.0,0.0,31,13,6,0,43,4,0,2,1,20472
50,50,33.995637,0.0,0.0,24,20,6,0,43,4,2,1,0,20328
50,50,34.560617,0.0,0.0,30,18,2,0,41,2,5,0,2,22140
50,50,35.129255,0.0,0.0,21,23,6,0,43,2,3,2,0,23696
50,50,35.704942,0.0,0.0,23,25,2,0,39,3,4,1,3,22610
50,50,36.282161,0.0,0.0,22,19,9,0,46,2,0,1,1,18480
50,50,36.849959,0.0,0.0,29,15,6,0,35,10,3,1,1,20711
50,50,37.449332,0.0,0.0,29,14,7,0,40,2,5,1,2,22612
50,50,37.999189,0.0,0.0,29,14,7,0,44,1,3,1,1,21157
50,50,38.577965,0.0,0.0,26,16,8,0,35,6,4,3,2,23366
50,50,39.133833,0.0,0.0,37,10,3,0,34,8,3,5,0,22416
50,50,39.690178,0.0,0.0,29,13,8,0,39,3,5,1,2,23321
50,50,40.242367,0.0,0.0,25,20,5,0,43,2,4,1,0,20822
50,50,40.798509,0.0,0.0,23,18,9,0,38,2,5,3,2,22538
50,50,41.400829,0.0,0.0,19,20,11,0,40,3,3,4,0,21510
50,50,41.977627,0.0,0.0,25,15,10,0,43,3,3,1,0,22384
50,50,42.572657,0.0,0.0,21,20,9,0,41,3,2,3,1,21343
50,50,43.13961,0.0,0.0,29,14,7,0,44,3,1,0,2,21423
50,50,43.710321,0.0,0.0,25,20,5,0,36,9,4,1,0,23064
50,50,44.272127,0.0,0.0,27,19,4,0,42,5,1,1,1,19993
50,50,44.839233,0.0,0.0,19,19,12,0,40,4,3,2,1,22809
50,50,45.404147,0.0,0.0,24,13,13,0,40,3,2,2,3,22080
50,50,45.970248,0.0,0.0,25,14,11,0,44,5,0,0,1,18711
50,50,46.574064,0.0,0.0,23,24,3,0,39,4,4,2,1,22840
50,50,47.119955,0.0,0.0,24,20,6,0,44,2,1,3,0,21810
50,50,47.726156,0.0,0.0,28,12,10,0,42,4,1,3,0,18936
