#{"t_start": 1668722242.3839283, "env_id": "DeepRMSA-v0"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate
50,50,0.402877,0.0,0.0
50,50,0.824049,0.0,0.0
50,50,1.308964,0.0,0.0
50,50,1.847688,0.0,0.0
50,50,2.390698,0.0,0.0
50,50,2.952947,0.0,0.0
20,50,3.553449,0.3,0.32403134056026617
12,50,4.14254,0.38,0.42616074912212254
4,50,4.743127,0.46,0.4693283976731888
-18,50,5.262589,0.68,0.6671583514099783
