#{"t_start": 1675647554.832655, "env_id": "DeepRMSA-v1"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate,num_C_selected,num_L_selected,num_S_selected,num_E_selected,num_path1_selected,num_path2_selected,num_path3_selected,num_path4_selected,num_path5_selected,total_path_length_per_episode
50,50,0.91118,0.0,0.0,0,47,2,1,0,11,38,0,1,31466
50,50,1.401189,0.0,0.0,0,48,2,0,0,6,44,0,0,33771
50,50,1.881826,0.0,0.0,0,46,4,0,0,9,41,0,0,32526
50,50,2.383045,0.0,0.0,0,42,8,0,0,10,40,0,0,32950
50,50,2.889871,0.0,0.0,0,39,11,0,0,4,46,0,0,32894
50,50,3.393317,0.0,0.0,0,46,4,0,0,6,44,0,0,32063
50,50,3.933897,0.0,0.0,0,43,7,0,0,7,43,0,0,32897
50,50,4.461891,0.0,0.0,0,45,3,2,0,6,42,0,2,32698
50,50,4.97313,0.0,0.0,0,25,12,13,0,5,26,6,13,35099
50,50,5.486748,0.0,0.0,0,20,20,10,0,1,29,10,10,36887
50,50,6.012638,0.0,0.0,0,16,19,15,0,0,22,13,15,38676
50,50,6.556191,0.0,0.0,0,17,21,12,0,4,24,10,12,36025
50,50,7.107453,0.0,0.0,0,11,26,13,0,2,21,14,13,36854
50,50,7.635609,0.0,0.0,0,19,20,11,0,4,22,13,11,35652
50,50,8.184466,0.0,0.0,0,13,23,14,0,2,22,12,14,36750
50,50,8.727137,0.0,0.0,0,22,23,5,0,8,22,15,5,33877
50,50,9.316046,0.0,0.0,0,11,33,6,0,3,22,19,6,34515
50,50,9.895445,0.0,0.0,0,14,25,11,0,3,22,14,11,36852
50,50,10.754662,0.0,0.0,0,12,21,17,0,0,21,12,17,37668
50,50,11.693048,0.0,0.0,0,13,23,14,0,5,17,14,14,36488
50,50,12.740426,0.0,0.0,0,15,22,13,0,3,21,13,13,37124
50,50,13.330335,0.0,0.0,0,14,18,18,0,4,15,15,16,37327
50,50,13.919166,0.0,0.0,0,21,19,10,0,7,19,15,9,37826
50,50,14.530969,0.0,0.0,0,12,19,19,0,3,17,11,19,38367
50,50,15.137695,0.0,0.0,0,14,27,9,0,7,10,24,9,35831
50,50,15.736007,0.0,0.0,0,14,19,17,0,8,10,16,16,36268
50,50,16.356269,0.0,0.0,0,20,15,15,0,9,17,9,15,34808
50,50,16.975574,0.0,0.0,0,17,16,17,0,8,13,12,17,37318
50,50,17.59595,0.0,0.0,0,13,17,20,0,7,8,15,20,37407
50,50,18.21646,0.0,0.0,0,14,20,16,0,7,10,17,16,38132
50,50,18.818563,0.0,0.0,0,21,17,12,0,14,8,17,11,34519
50,50,19.496954,0.0,0.0,1,11,17,21,0,8,8,13,21,34954
50,50,20.131566,0.0,0.0,1,10,21,18,0,6,15,12,17,35543
50,50,20.769224,0.0,0.0,0,13,14,23,0,8,9,11,22,35962
50,50,21.435226,0.0,0.0,1,11,18,20,0,4,16,12,18,38907
50,50,22.058973,0.0,0.0,2,9,9,30,1,5,10,5,29,37009
50,50,22.732208,0.0,0.0,0,8,10,32,0,4,9,6,31,38599
50,50,23.386505,0.0,0.0,2,8,6,34,0,4,7,5,34,39865
50,50,24.049615,0.0,0.0,0,9,11,30,0,4,9,12,25,38196
50,50,24.73632,0.0,0.0,10,9,1,30,3,16,0,4,27,35083
50,50,25.396864,0.0,0.0,5,11,10,24,4,8,9,9,20,35606
50,50,26.050853,0.0,0.0,12,10,10,18,8,10,7,12,13,33046
50,50,26.728595,0.0,0.0,14,10,7,19,7,14,4,11,14,30643
50,50,27.410556,0.0,0.0,14,13,8,15,7,15,9,7,12,32409
50,50,28.03993,0.0,0.0,18,8,8,16,12,11,7,9,11,28860
50,50,28.709992,0.0,0.0,18,9,9,14,10,15,7,7,11,30895
50,50,29.398943,0.0,0.0,20,8,9,13,10,16,6,10,8,31885
50,50,30.066803,0.0,0.0,20,5,12,13,15,8,9,10,8,31211
50,50,30.728424,0.0,0.0,22,12,8,8,8,25,6,4,7,27532
50,50,31.421388,0.0,0.0,23,9,11,7,12,17,10,6,5,27516
50,50,32.097548,0.0,0.0,28,6,6,10,15,18,6,4,7,29009
50,50,32.791963,0.0,0.0,23,8,6,13,17,10,6,9,8,29352
42,50,33.478051,0.08,0.12370595001568545,19,10,5,12,11,15,5,8,7,25482
34,50,34.144245,0.16,0.20472579791923823,18,6,9,9,13,10,7,7,5,24249
38,50,34.842858,0.12,0.1580607845199285,16,5,9,14,11,7,9,9,8,27849
18,50,35.509172,0.32,0.3997041967091884,10,6,12,6,4,11,6,8,5,20672
24,50,36.155458,0.26,0.30799790904338736,15,6,6,10,10,9,5,3,10,20130
42,50,36.854195,0.08,0.08328893624578228,14,12,10,10,9,12,12,6,7,27097
36,50,37.589545,0.14,0.12474161948413769,14,10,12,7,7,16,6,7,7,24467
34,50,38.259673,0.16,0.22107149970125473,14,10,8,10,10,13,6,5,8,24038
24,50,38.91514,0.26,0.28976856215310504,13,9,9,6,6,13,7,6,5,21319
30,50,39.614759,0.2,0.21471191497296288,12,9,12,7,5,15,11,4,5,25297
22,50,40.294528,0.28,0.2846526989369388,16,6,9,5,9,11,6,5,5,20627
20,50,40.945965,0.3,0.3342936713723231,9,8,12,6,6,11,7,5,6,19656
30,50,41.648534,0.2,0.24548772068251307,16,11,5,8,8,14,7,5,6,23809
26,50,42.35155,0.24,0.2826570611293569,12,9,4,13,8,10,5,5,10,21863
32,50,43.098854,0.18,0.20961573483882717,14,9,11,7,10,9,10,8,4,25196
24,50,43.802693,0.26,0.23623311608576555,11,7,11,8,9,9,6,7,6,19597
18,50,44.478818,0.32,0.38315807769183974,12,7,8,7,7,10,6,7,4,19478
14,50,45.153848,0.36,0.390095487736379,13,7,6,6,6,12,6,4,4,17132
20,50,45.81841,0.3,0.38866780367633125,11,10,6,8,3,14,7,4,7,20660
22,50,46.521591,0.28,0.32939644750302244,11,7,6,12,4,13,4,6,9,21692
16,50,47.198265,0.34,0.39680868297424265,14,4,9,6,9,8,7,6,3,17824
30,50,47.911435,0.2,0.24415744157441574,9,11,10,10,5,13,10,5,7,25116
14,50,48.570655,0.36,0.4775570272259014,13,3,9,7,11,4,5,6,6,17417
30,50,49.287139,0.2,0.22590139808682855,11,3,19,7,9,4,14,9,4,23785
16,50,49.954575,0.34,0.37782340862423,10,7,10,6,7,9,4,9,4,19413
10,50,50.640082,0.4,0.48121996665685984,9,4,9,8,4,7,6,7,6,18519
14,50,51.35577,0.36,0.44731031714171016,8,7,12,5,5,8,9,6,4,19901
16,50,52.058964,0.34,0.3820466786355476,7,7,9,10,6,7,7,7,6,19295
18,50,52.771953,0.32,0.3835426762931461,8,10,13,3,8,4,12,9,1,19246
30,50,53.508773,0.2,0.25248392752776155,9,8,15,8,3,13,9,11,4,24409
26,50,54.221234,0.24,0.30855855855855857,11,10,9,8,10,6,9,7,6,21161
-8,50,54.87663,0.58,0.6366363792216698,6,4,9,2,4,5,8,2,2,12165
10,50,55.581453,0.4,0.4721581840751906,6,7,7,10,2,11,2,5,10,19484
10,50,56.294217,0.4,0.5470442881581449,15,3,6,6,12,5,3,6,4,15491
8,50,56.992106,0.42,0.4742942050520059,7,9,8,5,3,5,14,4,3,17683
2,50,57.693166,0.48,0.5646844776405248,10,3,7,6,8,3,5,5,5,14759
16,50,58.441214,0.34,0.48987943811525275,6,7,9,11,6,5,9,6,7,18796
2,50,59.150387,0.48,0.5443356392058216,5,5,7,9,5,3,7,4,7,14486
16,50,59.886623,0.34,0.46683947086163746,5,7,13,8,4,6,11,9,3,19325
4,50,60.647158,0.46,0.5312852555758049,5,7,10,5,4,4,6,8,5,16361
8,50,61.356865,0.42,0.5030529172320217,8,9,7,5,5,9,10,1,4,14984
10,50,62.072942,0.4,0.5206520743657844,5,6,11,8,4,7,6,8,5,17911
20,50,62.783833,0.3,0.4018968583283936,8,4,10,13,7,3,3,13,9,21374
10,50,63.506247,0.4,0.4848013279385828,9,10,4,7,5,9,6,5,5,16319
2,50,64.228115,0.48,0.5428571428571428,10,7,7,2,8,7,7,3,1,13827
4,50,64.929677,0.46,0.5720294426919033,5,8,9,5,2,10,6,7,2,15616
12,50,65.670339,0.38,0.4954086317722681,8,5,9,9,4,8,8,5,6,19325
12,50,66.416926,0.38,0.44434488251692555,6,6,8,11,5,7,5,8,6,18482
6,50,67.11598,0.44,0.45593398876404495,13,5,4,6,7,9,6,4,2,15226
12,50,67.856333,0.38,0.4751720290124605,8,7,6,10,5,9,4,4,9,18484
12,50,68.630289,0.38,0.44204877130213727,13,5,8,5,10,5,6,6,4,17277
2,50,69.375955,0.48,0.5803220370717094,6,7,7,6,3,5,9,6,3,15349
6,50,70.113025,0.44,0.5488836104513064,7,4,8,9,4,5,8,7,4,17391
-2,50,70.840816,0.52,0.6441159193264148,3,8,7,6,2,6,8,5,3,14941
18,50,71.608993,0.32,0.38931077573776796,9,6,13,6,6,7,8,8,5,20459
-4,50,72.348758,0.54,0.6634912880638333,8,5,4,6,6,5,3,3,6,11998
6,50,73.196578,0.44,0.5583599464304111,9,5,7,7,7,4,6,6,5,16066
4,50,74.023934,0.46,0.5654731717212699,6,6,12,3,5,5,9,6,2,15675
-6,50,74.785627,0.56,0.6734455142625754,3,6,6,7,3,2,5,6,6,13485
-8,50,75.549064,0.58,0.6627927608232789,7,2,6,6,6,2,4,5,4,12997
-8,50,76.309144,0.58,0.651193989804132,5,8,3,5,5,6,2,4,4,11744
4,50,77.069212,0.46,0.5199099892378437,8,6,8,5,6,7,4,5,5,14122
-10,50,77.823628,0.6,0.7077068476673254,5,4,6,5,4,3,5,3,5,12105
6,50,78.622958,0.44,0.5192575406032482,7,6,4,11,6,5,5,3,9,16611
