,Source,Destination,Reason,Path,Nodes,Band,Available_Other
166,5,16,Slots Full,4,,3,0
167,17,3,Slots Full,1,,1,1
168,5,16,Slots Full,2,,2,0
169,12,9,Slots Full,2,,2,1
170,11,12,Slots Full,1,,1,1
171,5,15,Slots Full,2,,2,0
172,5,4,Slots Full,1,,0,1
173,12,2,Slots Full,2,,2,1
174,13,7,Slots Full,2,,2,1
175,3,16,Slots Full,2,,2,0
176,7,13,Slots Full,2,,2,1
177,16,4,Slots Full,2,,2,0
178,12,4,Slots Full,2,,2,1
179,13,3,Slots Full,4,,3,1
180,12,9,Slots Full,2,,2,1
181,10,6,Slots Full,2,,2,0
182,15,7,Slots Full,2,,2,0
183,7,13,Slots Full,2,,2,1
184,15,6,Slots Full,2,,2,0
185,6,14,Slots Full,2,,2,0
186,7,12,Slots Full,2,,2,1
187,7,15,Slots Full,2,,2,1
188,15,13,Slots Full,2,,2,1
189,7,13,Slots Full,2,,2,1
190,11,4,Slots Full,2,,2,1
191,4,12,Slots Full,2,,2,1
192,9,3,Slots Full,2,,2,1
193,16,5,Slots Full,2,,2,1
194,3,4,Slots Full,2,,2,1
195,9,3,Slots Full,2,,2,1
196,15,7,Slots Full,2,,2,0
197,5,4,Slots Full,1,,0,1
198,14,1,Slots Full,2,,2,0
199,9,3,Slots Full,2,,2,1
200,15,3,Slots Full,2,,2,0
201,5,17,Slots Full,4,,3,1
202,3,5,Slots Full,2,,2,1
203,3,17,Slots Full,1,,0,1
204,1,12,Slots Full,2,,2,0
205,8,13,Slots Full,2,,2,1
206,13,8,Slots Full,2,,2,1
207,5,13,Slots Full,2,,2,0
208,15,7,Slots Full,2,,2,0
209,7,14,Slots Full,2,,2,1
210,4,14,Slots Full,2,,2,0
211,5,17,Slots Full,2,,1,1
212,12,1,Slots Full,2,,2,0
213,2,13,Slots Full,2,,2,1
214,11,12,Slots Full,4,,3,1
215,13,1,Slots Full,2,,2,0
216,14,5,Slots Full,2,,2,0
217,17,5,Slots Full,2,,1,1
218,3,13,Slots Full,2,,2,0
219,5,7,Slots Full,2,,2,0
220,13,8,Slots Full,2,,2,1
221,4,13,Slots Full,2,,2,0
222,15,2,Slots Full,2,,2,1
223,1,12,Slots Full,2,,2,0
224,5,9,Slots Full,2,,2,0
225,8,14,Slots Full,2,,2,1
226,16,6,Slots Full,2,,2,1
227,5,14,Slots Full,2,,2,0
228,1,12,Slots Full,2,,2,0
229,8,15,Slots Full,2,,2,0
230,4,13,Slots Full,2,,2,0
231,15,4,Slots Full,2,,2,0
232,3,11,Slots Full,2,,2,1
233,13,14,Slots Full,2,,2,1
234,5,14,Slots Full,2,,2,0
235,14,3,Slots Full,2,,2,0
236,9,5,Slots Full,2,,2,0
237,12,11,Slots Full,1,,1,1
238,1,15,Slots Full,2,,2,0
239,1,5,Slots Full,2,,2,1
240,3,11,Slots Full,2,,2,1
241,13,6,Slots Full,2,,2,1
242,3,5,Slots Full,2,,2,1
243,3,12,Slots Full,2,,2,0
244,11,5,Slots Full,2,,2,1
245,13,7,Slots Full,2,,2,1
246,15,7,Slots Full,2,,2,0
247,14,4,Slots Full,2,,2,0
248,13,6,Slots Full,2,,2,1
249,8,15,Slots Full,2,,2,1
250,15,2,Slots Full,2,,2,1
251,3,12,Slots Full,4,,3,1
252,15,4,Slots Full,2,,2,0
253,3,6,Slots Full,2,,2,1
254,3,12,Slots Full,4,,3,1
255,2,13,Slots Full,1,,1,1
256,13,6,Slots Full,2,,2,1
257,3,13,Slots Full,2,,2,1
258,17,6,Slots Full,2,,2,1
259,12,6,Slots Full,2,,2,1
260,4,11,Slots Full,1,,1,1
261,3,1,Slots Full,2,,2,1
262,4,16,Slots Full,2,,2,0
263,15,8,Slots Full,2,,2,0
264,14,2,Slots Full,2,,2,1
265,7,5,Slots Full,2,,2,0
266,13,2,Slots Full,2,,2,1
267,6,10,Slots Full,2,,2,1
268,5,7,Slots Full,2,,2,0
269,13,6,Slots Full,2,,2,1
270,12,4,Slots Full,2,,2,0
271,13,4,Slots Full,2,,2,0
272,8,13,Slots Full,2,,2,1
273,12,9,Slots Full,2,,2,1
274,15,8,Slots Full,2,,2,0
275,13,8,Slots Full,2,,2,1
276,7,13,Slots Full,2,,2,1
277,6,16,Slots Full,2,,2,0
278,5,16,Slots Full,2,,2,0
279,13,5,Slots Full,2,,2,0
280,12,11,Slots Full,1,,1,1
281,13,12,Slots Full,2,,2,1
282,3,6,Slots Full,2,,2,1
283,3,17,Slots Full,2,,2,1
284,13,6,Slots Full,2,,2,1
285,14,13,Slots Full,2,,2,1
286,3,5,Slots Full,2,,2,1
287,16,3,Slots Full,2,,2,0
288,3,12,Slots Full,2,,2,1
289,13,4,Slots Full,2,,2,1
290,3,16,Slots Full,2,,2,0
291,13,2,Slots Full,2,,2,1
292,13,2,Slots Full,2,,2,1
293,5,13,Slots Full,2,,2,1
294,3,13,Slots Full,4,,3,0
295,6,9,Slots Full,2,,2,1
296,3,15,Slots Full,2,,2,0
297,3,4,Slots Full,2,,2,1
298,4,15,Slots Full,2,,2,0
299,12,11,Slots Full,4,,3,1
300,12,7,Slots Full,2,,2,1
301,17,5,Slots Full,2,,2,1
302,1,13,Slots Full,4,,3,0
303,15,7,Slots Full,2,,2,0
304,5,17,Slots Full,2,,2,0
305,1,15,Slots Full,2,,2,0
306,14,13,Slots Full,2,,2,1
307,14,5,Slots Full,2,,2,0
308,8,13,Slots Full,2,,2,1
309,6,16,Slots Full,2,,2,0
310,16,13,Slots Full,2,,2,1
311,11,13,Slots Full,1,,1,1
312,6,10,Slots Full,2,,2,1
313,15,13,Slots Full,2,,2,1
314,7,15,Slots Full,2,,2,0
315,3,15,Slots Full,2,,2,0
316,5,13,Slots Full,2,,2,0
317,13,7,Slots Full,2,,2,1
318,15,2,Slots Full,2,,2,1
319,3,12,Slots Full,2,,2,0
320,6,11,Slots Full,2,,2,1
321,15,14,Slots Full,2,,2,1
322,15,7,Slots Full,2,,2,0
323,13,7,Slots Full,2,,2,1
324,7,12,Slots Full,2,,2,1
325,5,3,Slots Full,2,,2,1
326,12,4,Slots Full,2,,2,0
327,3,15,Slots Full,2,,2,0
328,5,12,Slots Full,2,,2,0
329,1,13,Slots Full,2,,2,0
330,3,13,Slots Full,2,,2,0
331,12,3,Slots Full,2,,2,0
332,11,5,Slots Full,2,,2,1
333,12,2,Slots Full,2,,2,1
334,14,6,Slots Full,2,,2,1
335,12,11,Slots Full,1,,1,1
336,5,4,Slots Full,2,,2,1
337,12,16,Slots Full,2,,2,1
338,16,6,Slots Full,2,,2,0
339,13,6,Slots Full,2,,2,1
340,13,12,Slots Full,2,,2,1
341,8,12,Slots Full,2,,2,1
342,5,12,Slots Full,2,,2,0
343,5,3,Slots Full,2,,2,1
344,2,13,Slots Full,2,,2,0
345,5,11,Slots Full,2,,2,1
346,13,1,Slots Full,2,,2,0
347,16,6,Slots Full,2,,2,1
348,13,4,Slots Full,2,,2,0
349,13,4,Slots Full,2,,2,0
350,13,15,Slots Full,2,,2,1
351,12,5,Slots Full,2,,2,1
352,5,13,Slots Full,2,,2,0
353,4,16,Slots Full,2,,2,0
354,6,12,Slots Full,2,,2,1
355,10,13,Slots Full,2,,2,1
356,4,11,Slots Full,2,,2,1
357,13,4,Slots Full,2,,2,0
358,13,3,Slots Full,2,,2,0
359,5,12,Slots Full,2,,2,0
360,3,17,Slots Full,2,,2,0
361,15,4,Slots Full,2,,2,0
362,17,3,Slots Full,2,,2,0
363,4,15,Slots Full,2,,2,0
364,15,7,Slots Full,2,,2,0
365,13,9,Slots Full,2,,2,1
366,2,14,Slots Full,2,,2,1
367,15,12,Slots Full,2,,2,1
368,13,4,Slots Full,2,,2,0
369,15,1,Slots Full,2,,2,0
370,6,9,Slots Full,2,,2,1
371,15,7,Slots Full,2,,2,0
372,4,16,Slots Full,2,,2,0
373,14,5,Slots Full,2,,2,0
374,14,15,Slots Full,0,,0,1
375,5,6,Slots Full,2,,2,1
376,15,14,Slots Full,2,,2,1
377,12,13,Slots Full,2,,2,1
378,16,8,Slots Full,2,,2,1
