,Source,Destination,Reason,Path,Nodes,Band,Available_Other
0,7,13,Slots Full,2,,1,1
1,12,7,Slots Full,2,,1,1
2,7,13,Slots Full,2,,1,1
3,12,7,Slots Full,2,,1,1
4,15,5,Slots Full,2,,2,0
5,13,1,Slots Full,2,,2,1
6,14,3,Slots Full,1,,0,1
7,11,3,Slots Full,1,,0,1
8,12,4,Slots Full,2,,2,1
9,15,3,Slots Full,2,,2,0
10,4,14,Slots Full,2,,2,1
11,3,12,Slots Full,2,,2,0
12,3,5,Slots Full,2,,2,1
13,13,12,Slots Full,2,,2,1
14,11,3,Slots Full,2,,2,1
15,4,13,Slots Full,2,,2,0
16,12,3,Slots Full,2,,2,0
17,3,17,Slots Full,2,,2,1
18,15,3,Slots Full,4,,3,0
19,4,12,Slots Full,2,,2,1
20,5,13,Slots Full,1,,0,1
21,4,12,Slots Full,2,,2,0
22,12,4,Slots Full,2,,2,0
23,3,16,Slots Full,2,,2,1
24,5,12,Slots Full,2,,2,1
25,3,4,Slots Full,2,,2,1
26,1,14,Slots Full,2,,2,0
27,5,13,Slots Full,1,,0,1
28,15,7,Slots Full,2,,2,1
29,13,2,Slots Full,2,,2,1
30,13,2,Slots Full,2,,2,1
31,2,15,Slots Full,2,,2,1
32,2,12,Slots Full,2,,2,1
33,13,12,Slots Full,2,,2,1
34,8,15,Slots Full,2,,2,1
35,12,13,Slots Full,2,,2,1
36,15,3,Slots Full,2,,2,0
37,15,2,Slots Full,2,,2,1
38,13,1,Slots Full,2,,2,0
39,3,11,Slots Full,2,,2,1
40,15,6,Slots Full,2,,2,0
41,16,4,Slots Full,2,,2,0
42,15,6,Slots Full,2,,2,0
43,3,17,Slots Full,4,,3,0
44,10,5,Slots Full,2,,2,0
45,12,4,Slots Full,2,,2,0
46,5,12,Slots Full,2,,2,0
47,15,5,Slots Full,2,,2,1
48,5,14,Slots Full,2,,2,0
49,14,5,Slots Full,2,,2,0
50,15,8,Slots Full,2,,2,1
51,12,7,Slots Full,2,,2,1
52,3,17,Slots Full,4,,3,1
53,3,12,Slots Full,2,,2,0
54,17,3,Slots Full,4,,3,1
55,8,15,Slots Full,2,,2,1
56,6,14,Slots Full,4,,3,1
57,5,13,Slots Full,2,,2,0
58,3,13,Slots Full,2,,2,1
59,13,12,Slots Full,2,,2,1
60,17,3,Slots Full,2,,2,1
61,6,12,Slots Full,1,,1,1
62,13,2,Slots Full,2,,2,1
63,4,16,Slots Full,2,,2,0
64,7,15,Slots Full,2,,2,1
65,3,17,Slots Full,2,,2,1
66,15,4,Slots Full,4,,3,0
67,7,15,Slots Full,2,,2,1
68,16,4,Slots Full,2,,2,0
69,5,14,Slots Full,3,,2,1
70,9,12,Slots Full,2,,2,1
71,17,3,Slots Full,2,,2,1
72,5,16,Slots Full,2,,2,0
73,12,2,Slots Full,2,,2,1
74,7,13,Slots Full,2,,2,1
75,12,4,Slots Full,2,,2,0
76,12,9,Slots Full,2,,2,1
77,14,6,Slots Full,2,,2,1
78,15,7,Slots Full,2,,2,1
79,7,13,Slots Full,2,,2,0
80,7,12,Slots Full,2,,2,1
81,7,15,Slots Full,2,,2,1
82,7,13,Slots Full,2,,2,1
83,4,12,Slots Full,2,,2,0
84,4,14,Slots Full,2,,2,0
85,16,5,Slots Full,2,,2,0
86,3,4,Slots Full,2,,2,1
87,5,4,Slots Full,1,,0,1
