,Source,Destination,Reason,Path,Nodes,Band,Available_Other
0,5,17,Slots Full,2,,2,1
1,3,15,Slots Full,2,,2,0
2,3,14,Slots Full,2,,2,1
3,4,16,Slots Full,2,,2,1
4,16,5,Slots Full,2,,2,1
5,3,17,Slots Full,2,,2,1
6,3,14,Slots Full,2,,2,1
7,13,3,Slots Full,2,,2,0
8,14,5,Slots Full,2,,2,1
9,12,13,Slots Full,2,,2,1
10,1,14,Slots Full,2,,1,1
11,5,13,Slots Full,2,,2,1
12,5,13,Slots Full,2,,2,1
13,12,13,Slots Full,2,,2,1
14,7,13,Slots Full,2,,2,1
15,12,13,Slots Full,2,,2,1
16,3,16,Slots Full,2,,2,1
17,1,13,Slots Full,2,,2,0
18,13,7,Slots Full,2,,2,1
19,12,5,Slots Full,2,,2,1
20,1,14,Slots Full,2,,2,1
21,5,13,Slots Full,2,,2,1
22,4,16,Slots Full,2,,2,1
23,17,3,Slots Full,2,,1,1
24,13,7,Slots Full,2,,2,1
25,15,1,Slots Full,2,,2,0
26,15,1,Slots Full,2,,2,0
27,15,1,Slots Full,2,,2,1
28,3,13,Slots Full,2,,2,1
29,12,6,Slots Full,2,,2,1
30,13,3,Slots Full,2,,2,1
31,16,3,Slots Full,2,,2,1
32,1,15,Slots Full,2,,2,1
33,16,4,Slots Full,2,,2,1
34,6,16,Slots Full,2,,2,1
35,6,16,Slots Full,2,,2,1
36,7,12,Slots Full,2,,2,1
37,6,16,Slots Full,2,,2,1
38,5,13,Slots Full,2,,2,1
39,15,5,Slots Full,2,,2,1
40,15,3,Slots Full,2,,2,0
41,5,13,Slots Full,2,,2,1
42,14,3,Slots Full,2,,2,1
43,15,5,Slots Full,2,,2,0
44,16,4,Slots Full,2,,2,1
45,16,5,Slots Full,2,,2,1
46,14,1,Slots Full,2,,2,1
47,13,14,Slots Full,2,,2,1
48,15,1,Slots Full,2,,2,1
49,15,1,Slots Full,2,,2,1
50,3,13,Slots Full,2,,2,1
51,3,12,Slots Full,2,,2,1
52,3,13,Slots Full,2,,2,1
53,7,12,Slots Full,2,,2,1
54,5,16,Slots Full,2,,2,1
55,4,17,Slots Full,3,,2,1
56,13,3,Slots Full,2,,2,1
57,14,5,Slots Full,2,,2,0
58,13,14,Slots Full,1,,1,1
59,12,5,Slots Full,2,,2,1
60,15,3,Slots Full,4,,3,1
61,13,12,Slots Full,1,,1,1
62,5,13,Slots Full,2,,2,1
63,1,13,Slots Full,2,,2,0
64,14,13,Slots Full,1,,1,1
65,1,15,Slots Full,1,,1,1
66,5,12,Slots Full,2,,2,1
67,15,1,Slots Full,2,,2,1
68,1,15,Slots Full,2,,2,1
69,13,1,Slots Full,2,,2,1
70,7,13,Slots Full,2,,2,1
71,12,5,Slots Full,2,,2,1
72,7,13,Slots Full,2,,2,1
73,14,5,Slots Full,2,,2,1
74,3,14,Slots Full,4,,3,1
75,1,15,Slots Full,2,,2,1
76,16,3,Slots Full,2,,2,0
