,Source,Destination,Reason,Path,Nodes,Band,Available_Other
0,7,13,Slots Full,2,,1,1
1,7,12,Slots Full,2,,1,1
2,7,13,Slots Full,2,,1,1
3,7,12,Slots Full,2,,1,1
4,12,7,Slots Full,2,,1,1
5,12,7,Slots Full,2,,1,1
6,7,13,Slots Full,2,,1,1
7,12,7,Slots Full,2,,1,1
8,15,8,Slots Full,2,,2,1
9,1,12,Slots Full,2,,2,1
10,7,12,Slots Full,2,,2,0
11,2,13,Slots Full,2,,2,0
12,14,4,Slots Full,2,,2,1
13,14,4,Slots Full,2,,2,1
14,2,13,Slots Full,2,,2,1
15,13,7,Slots Full,2,,2,1
16,14,3,Slots Full,2,,2,1
17,3,14,Slots Full,2,,2,0
18,6,16,Slots Full,2,,2,1
19,14,1,Slots Full,2,,2,0
20,13,5,Slots Full,2,,2,0
21,11,3,Slots Full,2,,2,1
22,6,14,Slots Full,2,,2,1
23,3,14,Slots Full,2,,2,0
24,9,12,Slots Full,2,,2,1
25,17,4,Slots Full,2,,2,1
26,14,5,Slots Full,2,,2,0
27,3,13,Slots Full,2,,2,0
28,15,4,Slots Full,4,,3,0
29,13,2,Slots Full,2,,2,1
30,13,6,Slots Full,2,,2,1
31,2,13,Slots Full,2,,2,0
32,13,7,Slots Full,2,,2,1
33,17,5,Slots Full,2,,2,1
34,16,3,Slots Full,2,,2,0
35,17,4,Slots Full,2,,2,1
36,17,5,Slots Full,4,,3,1
37,13,7,Slots Full,2,,2,1
38,7,13,Slots Full,2,,2,1
39,12,3,Slots Full,2,,2,1
40,3,14,Slots Full,2,,2,0
41,13,8,Slots Full,2,,2,1
42,14,5,Slots Full,2,,2,0
43,15,4,Slots Full,2,,2,0
44,11,5,Slots Full,2,,2,1
45,5,15,Slots Full,2,,2,0
46,5,17,Slots Full,2,,2,1
47,17,4,Slots Full,2,,2,1
48,3,11,Slots Full,2,,2,1
49,7,13,Slots Full,4,,3,0
50,15,5,Slots Full,2,,2,0
51,11,5,Slots Full,2,,2,1
52,13,3,Slots Full,2,,2,0
53,5,17,Slots Full,4,,3,1
54,4,13,Slots Full,2,,2,0
55,4,16,Slots Full,2,,2,0
56,13,8,Slots Full,2,,2,1
57,8,12,Slots Full,2,,2,0
58,9,12,Slots Full,2,,2,1
59,4,12,Slots Full,2,,2,0
60,6,12,Slots Full,2,,1,1
61,7,12,Slots Full,2,,2,0
62,11,5,Slots Full,2,,2,1
63,1,12,Slots Full,2,,2,0
64,7,15,Slots Full,2,,2,1
65,1,15,Slots Full,4,,3,0
66,7,12,Slots Full,2,,2,0
67,3,12,Slots Full,2,,2,1
68,15,5,Slots Full,2,,2,0
69,13,7,Slots Full,2,,2,1
70,12,6,Slots Full,2,,2,1
71,3,12,Slots Full,2,,2,1
72,5,14,Slots Full,2,,2,0
73,8,13,Slots Full,2,,2,1
74,1,15,Slots Full,2,,2,0
75,5,15,Slots Full,2,,2,0
76,11,3,Slots Full,2,,2,1
77,12,11,Slots Full,1,,1,1
78,8,15,Slots Full,2,,2,1
79,17,12,Slots Full,1,,1,1
80,6,13,Slots Full,2,,2,1
81,12,7,Slots Full,2,,2,0
82,13,6,Slots Full,2,,2,1
83,7,12,Slots Full,2,,2,0
84,15,6,Slots Full,2,,2,0
85,13,8,Slots Full,2,,2,1
86,17,5,Slots Full,2,,2,1
87,6,13,Slots Full,2,,2,1
88,13,5,Slots Full,2,,2,1
89,4,16,Slots Full,4,,3,1
90,17,3,Slots Full,4,,3,1
91,3,16,Slots Full,2,,2,0
92,12,5,Slots Full,2,,2,0
93,10,12,Slots Full,2,,2,1
94,12,6,Slots Full,2,,2,1
95,13,5,Slots Full,2,,2,0
96,17,5,Slots Full,2,,2,1
97,4,12,Slots Full,4,,3,1
98,13,3,Slots Full,2,,1,0
99,8,13,Slots Full,2,,2,1
100,4,13,Slots Full,2,,2,0
101,8,13,Slots Full,2,,2,1
102,16,12,Slots Full,2,,2,1
103,14,7,Slots Full,2,,2,1
104,15,7,Slots Full,2,,2,1
105,12,13,Slots Full,2,,2,1
106,15,5,Slots Full,2,,2,0
107,13,11,Slots Full,2,,2,1
108,1,15,Slots Full,2,,2,1
109,16,3,Slots Full,2,,2,0
110,11,5,Slots Full,2,,2,1
111,4,12,Slots Full,2,,2,1
112,3,12,Slots Full,2,,2,0
113,12,5,Slots Full,2,,2,0
114,3,17,Slots Full,2,,2,1
115,12,5,Slots Full,2,,2,0
116,17,12,Slots Full,1,,1,1
117,2,13,Slots Full,2,,2,1
118,14,1,Slots Full,4,,3,1
119,4,12,Slots Full,2,,2,1
120,5,17,Slots Full,2,,2,1
121,12,7,Slots Full,2,,2,1
122,6,13,Slots Full,2,,2,0
123,13,8,Slots Full,2,,2,0
124,7,14,Slots Full,2,,2,1
125,12,7,Slots Full,2,,2,1
126,12,16,Slots Full,2,,2,1
127,3,13,Slots Full,2,,2,0
128,11,5,Slots Full,2,,2,1
129,17,3,Slots Full,2,,2,1
130,3,14,Slots Full,2,,2,0
131,1,14,Slots Full,2,,2,1
132,6,17,Slots Full,2,,2,1
133,5,16,Slots Full,2,,2,0
134,13,2,Slots Full,2,,2,0
135,16,12,Slots Full,2,,2,1
136,3,13,Slots Full,2,,2,0
137,14,3,Slots Full,4,,3,0
138,12,6,Slots Full,2,,2,0
139,16,5,Slots Full,2,,2,0
140,5,4,Slots Full,1,,0,1
141,1,14,Slots Full,2,,2,0
142,17,4,Slots Full,4,,3,1
143,1,15,Slots Full,2,,2,0
144,13,6,Slots Full,4,,3,1
145,17,5,Slots Full,2,,2,1
146,17,3,Slots Full,2,,2,0
147,14,3,Slots Full,2,,2,0
148,4,14,Slots Full,2,,2,0
149,14,5,Slots Full,2,,2,0
150,14,4,Slots Full,2,,2,1
151,13,7,Slots Full,2,,2,0
152,17,4,Slots Full,4,,3,1
153,1,13,Slots Full,4,,3,0
154,13,3,Slots Full,2,,2,0
155,12,3,Slots Full,2,,2,0
156,3,15,Slots Full,4,,3,0
157,1,14,Slots Full,2,,2,0
158,15,5,Slots Full,2,,2,0
159,13,1,Slots Full,2,,2,0
160,14,12,Slots Full,1,,1,1
