#{"t_start": 1674693240.1103454, "env_id": "DeepRMSAKSP-v1"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate,num_C_selected,num_L_selected,num_S_selected,num_E_selected
50,50,1.876071,0.0,0.0,50,0,0,0
50,50,2.313077,0.0,0.0,50,0,0,0
50,50,2.747582,0.0,0.0,50,0,0,0
50,50,3.200549,0.0,0.0,50,0,0,0
50,50,3.647484,0.0,0.0,50,0,0,0
50,50,4.075952,0.0,0.0,50,0,0,0
50,50,4.543407,0.0,0.0,50,0,0,0
50,50,4.986706,0.0,0.0,50,0,0,0
50,50,5.476007,0.0,0.0,50,0,0,0
50,50,5.947179,0.0,0.0,50,0,0,0
50,50,6.422831,0.0,0.0,50,0,0,0
50,50,6.864802,0.0,0.0,50,0,0,0
50,50,7.343928,0.0,0.0,42,8,0,0
50,50,7.815612,0.0,0.0,49,1,0,0
50,50,8.299459,0.0,0.0,48,2,0,0
50,50,8.794388,0.0,0.0,49,1,0,0
50,50,9.323468,0.0,0.0,46,4,0,0
50,50,9.817396,0.0,0.0,49,1,0,0
50,50,10.328218,0.0,0.0,45,5,0,0
50,50,10.808825,0.0,0.0,48,2,0,0
50,50,11.31254,0.0,0.0,48,2,0,0
50,50,11.814817,0.0,0.0,50,0,0,0
50,50,12.301457,0.0,0.0,49,1,0,0
50,50,12.787659,0.0,0.0,48,2,0,0
50,50,13.292473,0.0,0.0,42,8,0,0
50,50,13.77153,0.0,0.0,48,2,0,0
50,50,14.260309,0.0,0.0,49,1,0,0
50,50,14.738005,0.0,0.0,48,2,0,0
50,50,15.410186,0.0,0.0,45,5,0,0
50,50,15.902924,0.0,0.0,49,1,0,0
50,50,16.394331,0.0,0.0,48,2,0,0
50,50,16.882464,0.0,0.0,50,0,0,0
50,50,17.364655,0.0,0.0,47,3,0,0
50,50,17.880227,0.0,0.0,48,2,0,0
50,50,18.371958,0.0,0.0,47,3,0,0
50,50,18.869424,0.0,0.0,46,4,0,0
50,50,19.373791,0.0,0.0,47,3,0,0
50,50,19.869341,0.0,0.0,46,4,0,0
50,50,20.36347,0.0,0.0,46,4,0,0
50,50,20.904908,0.0,0.0,47,3,0,0
50,50,21.748285,0.0,0.0,42,8,0,0
50,50,22.607223,0.0,0.0,44,6,0,0
50,50,23.436299,0.0,0.0,47,3,0,0
50,50,24.223346,0.0,0.0,50,0,0,0
50,50,25.016385,0.0,0.0,49,1,0,0
50,50,25.620234,0.0,0.0,48,2,0,0
50,50,26.114575,0.0,0.0,47,3,0,0
50,50,26.640563,0.0,0.0,49,1,0,0
50,50,27.174106,0.0,0.0,48,2,0,0
50,50,27.6609,0.0,0.0,49,1,0,0
50,50,28.154906,0.0,0.0,47,3,0,0
50,50,28.655143,0.0,0.0,49,1,0,0
50,50,29.150825,0.0,0.0,48,2,0,0
50,50,29.647702,0.0,0.0,50,0,0,0
50,50,30.134423,0.0,0.0,48,2,0,0
50,50,30.631996,0.0,0.0,46,4,0,0
50,50,31.119609,0.0,0.0,47,3,0,0
50,50,31.597588,0.0,0.0,50,0,0,0
50,50,32.093165,0.0,0.0,50,0,0,0
50,50,32.569841,0.0,0.0,48,2,0,0
50,50,33.04782,0.0,0.0,49,1,0,0
50,50,33.525389,0.0,0.0,47,3,0,0
50,50,34.057792,0.0,0.0,49,1,0,0
50,50,34.531039,0.0,0.0,49,1,0,0
50,50,35.020339,0.0,0.0,50,0,0,0
50,50,35.51227,0.0,0.0,47,3,0,0
50,50,36.00196,0.0,0.0,49,1,0,0
50,50,36.465087,0.0,0.0,48,2,0,0
50,50,36.954922,0.0,0.0,47,3,0,0
50,50,37.444191,0.0,0.0,43,7,0,0
50,50,37.929682,0.0,0.0,46,4,0,0
50,50,38.410572,0.0,0.0,49,1,0,0
50,50,38.880692,0.0,0.0,50,0,0,0
50,50,39.345167,0.0,0.0,49,1,0,0
50,50,39.816731,0.0,0.0,46,4,0,0
50,50,40.31115,0.0,0.0,48,2,0,0
50,50,40.78128,0.0,0.0,42,8,0,0
50,50,41.306518,0.0,0.0,45,5,0,0
50,50,41.788904,0.0,0.0,48,2,0,0
50,50,42.307169,0.0,0.0,46,4,0,0
50,50,42.78919,0.0,0.0,49,1,0,0
50,50,43.28644,0.0,0.0,50,0,0,0
50,50,43.783258,0.0,0.0,50,0,0,0
50,50,44.279157,0.0,0.0,47,3,0,0
50,50,44.749774,0.0,0.0,44,6,0,0
50,50,45.25147,0.0,0.0,44,6,0,0
50,50,45.726958,0.0,0.0,48,2,0,0
50,50,46.220879,0.0,0.0,46,4,0,0
50,50,46.675819,0.0,0.0,46,4,0,0
50,50,47.169934,0.0,0.0,41,9,0,0
