#{"t_start": 1674697757.516121, "env_id": "DeepRMSAKSP-v1"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate,num_C_selected,num_L_selected,num_S_selected,num_E_selected
50,50,0.86037,0.0,0.0,50,0,0,0
50,50,1.289682,0.0,0.0,50,0,0,0
50,50,1.719189,0.0,0.0,50,0,0,0
50,50,2.137064,0.0,0.0,50,0,0,0
50,50,2.578113,0.0,0.0,50,0,0,0
50,50,3.017053,0.0,0.0,50,0,0,0
50,50,3.452824,0.0,0.0,50,0,0,0
50,50,3.907408,0.0,0.0,46,4,0,0
50,50,4.348015,0.0,0.0,39,11,0,0
50,50,4.80905,0.0,0.0,40,10,0,0
50,50,5.254979,0.0,0.0,35,15,0,0
50,50,5.72036,0.0,0.0,31,19,0,0
50,50,6.19098,0.0,0.0,26,24,0,0
50,50,6.655225,0.0,0.0,33,17,0,0
50,50,7.123317,0.0,0.0,27,23,0,0
50,50,7.586372,0.0,0.0,27,23,0,0
50,50,8.060909,0.0,0.0,19,31,0,0
50,50,8.546506,0.0,0.0,25,25,0,0
50,50,9.041776,0.0,0.0,20,30,0,0
50,50,9.530032,0.0,0.0,19,30,1,0
50,50,10.035053,0.0,0.0,20,21,9,0
50,50,10.556983,0.0,0.0,23,20,7,0
50,50,11.072092,0.0,0.0,18,24,8,0
50,50,11.565023,0.0,0.0,12,27,11,0
50,50,12.069777,0.0,0.0,16,23,11,0
50,50,12.557469,0.0,0.0,16,26,8,0
50,50,13.099444,0.0,0.0,17,22,11,0
50,50,13.61524,0.0,0.0,15,28,7,0
50,50,14.123467,0.0,0.0,12,30,8,0
50,50,14.623158,0.0,0.0,18,22,10,0
50,50,15.159806,0.0,0.0,13,24,13,0
50,50,15.677235,0.0,0.0,11,29,10,0
50,50,16.217552,0.0,0.0,12,25,13,0
50,50,16.737147,0.0,0.0,13,24,13,0
50,50,17.26721,0.0,0.0,10,19,21,0
50,50,17.806946,0.0,0.0,10,23,17,0
50,50,18.346949,0.0,0.0,8,24,18,0
50,50,18.895898,0.0,0.0,9,20,21,0
50,50,19.426888,0.0,0.0,9,18,23,0
50,50,19.978646,0.0,0.0,18,18,14,0
50,50,20.512431,0.0,0.0,8,19,23,0
50,50,21.058994,0.0,0.0,8,23,19,0
50,50,21.620208,0.0,0.0,12,18,20,0
50,50,22.171544,0.0,0.0,9,17,24,0
50,50,22.723122,0.0,0.0,9,19,19,3
50,50,23.270039,0.0,0.0,14,17,15,4
50,50,23.845206,0.0,0.0,11,15,12,12
50,50,24.407811,0.0,0.0,8,16,19,7
50,50,24.980339,0.0,0.0,16,10,18,6
50,50,25.541187,0.0,0.0,13,14,16,7
50,50,26.130515,0.0,0.0,13,11,17,9
50,50,26.68687,0.0,0.0,13,13,17,7
50,50,27.267788,0.0,0.0,13,10,21,6
50,50,27.843257,0.0,0.0,9,14,20,7
50,50,28.422768,0.0,0.0,8,19,15,8
50,50,29.035887,0.0,0.0,4,12,22,12
50,50,29.617004,0.0,0.0,6,16,18,10
50,50,30.20108,0.0,0.0,11,11,25,3
50,50,30.789095,0.0,0.0,10,11,23,6
50,50,31.386007,0.0,0.0,16,9,20,5
50,50,32.006041,0.0,0.0,7,12,22,9
50,50,32.593064,0.0,0.0,7,16,22,5
50,50,33.197305,0.0,0.0,8,12,18,12
50,50,33.79431,0.0,0.0,9,13,18,10
50,50,34.388098,0.0,0.0,5,16,20,9
50,50,34.978967,0.0,0.0,11,18,12,9
50,50,35.595979,0.0,0.0,6,4,29,11
50,50,36.204564,0.0,0.0,8,9,22,11
50,50,36.80557,0.0,0.0,9,11,12,18
50,50,37.406739,0.0,0.0,11,11,16,12
50,50,37.999155,0.0,0.0,14,10,11,15
50,50,38.603269,0.0,0.0,10,7,19,14
50,50,39.231682,0.0,0.0,6,12,15,17
50,50,39.858716,0.0,0.0,13,8,23,6
50,50,40.484942,0.0,0.0,9,11,15,15
50,50,41.174443,0.0,0.0,5,7,23,15
50,50,41.799915,0.0,0.0,8,10,10,22
50,50,42.428028,0.0,0.0,9,10,15,16
48,50,43.059067,0.02,0.011641910879164994,10,5,17,17
40,50,43.672124,0.1,0.10484739676840216,8,11,12,14
36,50,44.275489,0.14,0.15329838789437247,12,9,12,10
44,50,44.88951,0.06,0.0682836547827781,5,12,17,13
38,50,45.469481,0.12,0.13156906906906907,11,9,14,10
30,50,46.066877,0.2,0.19449682839019372,3,14,8,15
32,50,46.6822,0.18,0.21564107111189929,7,9,12,13
34,50,47.2966,0.16,0.22695305075080782,9,9,13,11
38,50,47.891482,0.12,0.14779593858345716,9,11,15,9
30,50,48.491192,0.2,0.19726132337450925,13,6,12,9
36,50,49.071726,0.14,0.21159163809313128,19,7,6,11
28,50,49.659804,0.22,0.21489533734615038,10,14,5,10
36,50,50.275896,0.14,0.14712191633893457,6,15,13,9
26,50,50.855898,0.24,0.2700685585351037,7,15,11,5
24,50,51.425704,0.26,0.3010515603799186,11,10,10,6
36,50,52.033669,0.14,0.15587508013554355,11,5,15,12
38,50,52.640043,0.12,0.14720410985971152,8,13,15,8
34,50,53.214521,0.16,0.15800394231766782,13,8,11,10
32,50,53.838883,0.18,0.1990813045475425,4,8,11,18
36,50,54.448771,0.14,0.15973616289073703,8,4,11,20
36,50,55.061538,0.14,0.1573921028466483,7,11,14,11
32,50,55.680433,0.18,0.19105933890880128,6,10,13,12
38,50,56.298934,0.12,0.11630969101123595,4,8,22,10
40,50,56.930113,0.1,0.10033475915938256,13,7,6,19
34,50,57.539829,0.16,0.16128424818755296,7,12,15,8
42,50,58.186219,0.08,0.09427073581726268,7,14,9,16
40,50,58.815456,0.1,0.1178147268408551,8,8,11,18
38,50,59.430786,0.12,0.1410808693949481,6,9,7,22
26,50,60.014011,0.24,0.25069691435162933,8,11,13,6
34,50,60.667483,0.16,0.19443087445041524,8,9,11,14
38,50,61.349117,0.12,0.17884001236221284,11,10,11,12
36,50,61.974863,0.14,0.17841566081752713,8,11,9,15
36,50,62.597024,0.14,0.17439035363988123,11,3,8,21
38,50,63.220712,0.12,0.16483321504613202,9,5,8,22
