#{"t_start": 1674694925.2834191, "env_id": "DeepRMSAKSP-v1"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate,num_C_selected,num_L_selected,num_S_selected,num_E_selected
50,50,0.839511,0.0,0.0,50,0,0,0
50,50,1.265521,0.0,0.0,50,0,0,0
50,50,1.6934,0.0,0.0,50,0,0,0
50,50,2.139087,0.0,0.0,50,0,0,0
50,50,2.573079,0.0,0.0,50,0,0,0
50,50,3.001841,0.0,0.0,50,0,0,0
50,50,3.439188,0.0,0.0,50,0,0,0
50,50,3.886123,0.0,0.0,47,3,0,0
50,50,4.324253,0.0,0.0,39,11,0,0
50,50,4.75174,0.0,0.0,41,9,0,0
50,50,5.211943,0.0,0.0,39,11,0,0
50,50,5.665903,0.0,0.0,33,17,0,0
50,50,6.13966,0.0,0.0,28,22,0,0
50,50,6.593191,0.0,0.0,32,18,0,0
50,50,7.075665,0.0,0.0,33,17,0,0
50,50,7.547452,0.0,0.0,30,20,0,0
50,50,8.046381,0.0,0.0,25,25,0,0
50,50,8.523452,0.0,0.0,32,18,0,0
50,50,9.007599,0.0,0.0,24,26,0,0
50,50,9.483202,0.0,0.0,25,25,0,0
50,50,9.973859,0.0,0.0,26,24,0,0
50,50,10.475809,0.0,0.0,27,23,0,0
50,50,10.96607,0.0,0.0,28,20,2,0
50,50,11.456864,0.0,0.0,26,17,7,0
50,50,11.95118,0.0,0.0,21,21,8,0
50,50,12.460851,0.0,0.0,21,27,2,0
50,50,12.962281,0.0,0.0,24,17,9,0
50,50,13.478651,0.0,0.0,24,21,5,0
50,50,13.998192,0.0,0.0,17,29,4,0
50,50,14.500684,0.0,0.0,26,17,7,0
50,50,15.018617,0.0,0.0,20,23,7,0
50,50,15.536058,0.0,0.0,21,21,8,0
50,50,16.06112,0.0,0.0,18,23,9,0
50,50,16.585431,0.0,0.0,20,20,10,0
50,50,17.109947,0.0,0.0,17,22,11,0
50,50,17.631964,0.0,0.0,15,23,12,0
50,50,18.170405,0.0,0.0,12,27,11,0
50,50,18.697078,0.0,0.0,17,27,6,0
50,50,19.23537,0.0,0.0,17,24,9,0
50,50,19.769535,0.0,0.0,20,21,9,0
50,50,20.329734,0.0,0.0,22,17,11,0
50,50,20.884979,0.0,0.0,19,19,12,0
50,50,21.428611,0.0,0.0,19,17,14,0
50,50,21.97839,0.0,0.0,26,12,12,0
50,50,22.529161,0.0,0.0,12,22,16,0
50,50,23.056168,0.0,0.0,23,18,9,0
50,50,23.600129,0.0,0.0,20,12,18,0
50,50,24.144905,0.0,0.0,14,17,19,0
50,50,24.67953,0.0,0.0,20,14,16,0
50,50,25.234472,0.0,0.0,24,13,13,0
50,50,25.818686,0.0,0.0,17,16,17,0
50,50,26.367789,0.0,0.0,23,14,13,0
50,50,26.920599,0.0,0.0,15,23,11,1
50,50,27.49548,0.0,0.0,17,18,15,0
50,50,28.046487,0.0,0.0,19,18,13,0
50,50,28.618712,0.0,0.0,8,18,21,3
50,50,29.168412,0.0,0.0,15,21,10,4
50,50,29.714919,0.0,0.0,21,20,8,1
50,50,30.269058,0.0,0.0,18,19,11,2
50,50,30.841175,0.0,0.0,20,15,13,2
50,50,31.416683,0.0,0.0,19,15,13,3
50,50,31.975869,0.0,0.0,17,15,16,2
50,50,32.568397,0.0,0.0,18,16,10,6
50,50,33.131618,0.0,0.0,21,12,12,5
50,50,33.683371,0.0,0.0,20,19,9,2
50,50,34.244353,0.0,0.0,24,9,10,7
50,50,34.833022,0.0,0.0,11,17,16,6
50,50,35.411351,0.0,0.0,18,16,14,2
50,50,35.992063,0.0,0.0,17,17,8,8
50,50,36.585718,0.0,0.0,15,21,11,3
50,50,37.157365,0.0,0.0,24,8,16,2
50,50,37.721465,0.0,0.0,21,12,11,6
50,50,38.301164,0.0,0.0,14,15,18,3
50,50,38.870235,0.0,0.0,24,14,12,0
50,50,39.513427,0.0,0.0,18,15,11,6
50,50,40.090186,0.0,0.0,18,14,14,4
50,50,40.675359,0.0,0.0,17,8,17,8
50,50,41.286325,0.0,0.0,17,14,15,4
50,50,41.89945,0.0,0.0,15,20,13,2
50,50,42.488127,0.0,0.0,14,17,13,6
50,50,43.076945,0.0,0.0,16,13,16,5
50,50,43.67431,0.0,0.0,13,20,14,3
50,50,44.260783,0.0,0.0,19,14,15,2
50,50,44.919587,0.0,0.0,9,18,17,6
50,50,45.53221,0.0,0.0,13,13,16,8
50,50,46.146955,0.0,0.0,15,14,14,7
50,50,46.764645,0.0,0.0,16,19,12,3
50,50,47.374473,0.0,0.0,18,13,13,6
50,50,47.95956,0.0,0.0,22,11,15,2
50,50,48.565108,0.0,0.0,14,18,8,10
50,50,49.172825,0.0,0.0,20,11,16,3
50,50,49.792908,0.0,0.0,16,14,9,11
50,50,50.41262,0.0,0.0,18,14,8,10
50,50,51.055633,0.0,0.0,15,11,17,7
50,50,51.69489,0.0,0.0,17,16,13,4
50,50,52.309057,0.0,0.0,20,11,13,6
50,50,52.96168,0.0,0.0,18,10,16,6
50,50,53.58185,0.0,0.0,13,18,15,4
50,50,54.228696,0.0,0.0,16,14,14,6
50,50,54.860966,0.0,0.0,17,17,12,4
50,50,55.469649,0.0,0.0,16,18,14,2
50,50,56.128399,0.0,0.0,21,7,17,5
50,50,56.816739,0.0,0.0,19,17,8,6
50,50,57.445049,0.0,0.0,14,19,12,5
50,50,58.094153,0.0,0.0,22,16,8,4
