#{"t_start": 1677691008.1302385, "env_id": "DeepRMSA-v0"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate
50,50,10.159486,0.0,0.0
50,50,10.640448,0.0,0.0
50,50,11.172473,0.0,0.0
50,50,11.688932,0.0,0.0
50,50,12.255784,0.0,0.0
50,50,12.808109,0.0,0.0
50,50,13.354265,0.0,0.0
50,50,13.912274,0.0,0.0
50,50,14.480339,0.0,0.0
50,50,15.042527,0.0,0.0
50,50,15.656254,0.0,0.0
50,50,16.380153,0.0,0.0
50,50,17.105886,0.0,0.0
50,50,17.881236,0.0,0.0
50,50,18.519485,0.0,0.0
50,50,19.098938,0.0,0.0
50,50,19.721275,0.0,0.0
50,50,20.337785,0.0,0.0
50,50,20.959919,0.0,0.0
50,50,21.564181,0.0,0.0
50,50,22.202426,0.0,0.0
50,50,22.842672,0.0,0.0
48,50,23.510081,0.02,0.027267960146827478
46,50,24.14847,0.04,0.036393957229742986
36,50,24.816641,0.14,0.1504432624113475
48,50,25.477916,0.02,0.021576440859169987
36,50,26.152956,0.14,0.15851172273190622
42,50,26.816802,0.08,0.08204981935729226
44,50,27.530166,0.06,0.07496630727762803
44,50,28.269348,0.06,0.050951449404232615
32,50,29.129014,0.18,0.22415719873346993
44,50,30.02699,0.06,0.05906570324315241
42,50,30.793864,0.08,0.08972953216374269
44,50,31.450982,0.06,0.08022492970946579
32,50,32.085389,0.18,0.17434183033848724
32,50,32.769328,0.18,0.21613592052734193
48,50,33.476004,0.02,0.03732750918296436
42,50,34.186402,0.08,0.08807460437076112
34,50,34.893359,0.16,0.13854642641607035
30,50,35.56983,0.2,0.1978533434650456
20,50,36.231435,0.3,0.3780900778868947
30,50,36.913343,0.2,0.24714063500777747
24,50,37.575626,0.26,0.2366713433882848
36,50,38.29871,0.14,0.1528756957328386
38,50,39.030853,0.12,0.11700680272108843
28,50,39.732069,0.22,0.2551175471529454
32,50,40.544847,0.18,0.23563814734459013
30,50,41.478785,0.2,0.20841665942091991
36,50,42.478186,0.14,0.17930962123596683
34,50,43.212168,0.16,0.17734915924826905
34,50,43.95903,0.16,0.23658137330920995
34,50,44.696719,0.16,0.14476154712730005
36,50,45.443758,0.14,0.16714697406340057
24,50,46.149209,0.26,0.2723381487426431
26,50,46.880438,0.24,0.2969436310395315
30,50,47.589813,0.2,0.1642217565250524
12,50,48.281513,0.38,0.41316872427983536
28,50,49.023905,0.22,0.2497211018621814
40,50,49.846227,0.1,0.11149312377210216
44,50,50.610164,0.06,0.05561885033661315
32,50,51.350523,0.18,0.23558849003945723
42,50,52.13393,0.08,0.13874204337037438
34,50,53.099697,0.16,0.1650962309542903
30,50,54.092891,0.2,0.28103175342210635
26,50,55.012952,0.24,0.3197252587791429
26,50,55.745593,0.24,0.32444590739521617
30,50,56.50797,0.2,0.25434439178515006
26,50,57.271611,0.24,0.21937670652480934
30,50,58.074993,0.2,0.2742039586919105
32,50,58.85726,0.18,0.17412171242081015
38,50,59.688789,0.12,0.18271774272558047
18,50,60.456905,0.32,0.3170731707317073
22,50,61.213726,0.28,0.38052620228596074
22,50,61.940467,0.28,0.37762808736476833
36,50,62.775083,0.14,0.1463985945734921
30,50,63.558703,0.2,0.21617573639540688
18,50,64.317018,0.32,0.3453964874933475
34,50,65.339434,0.16,0.19276042127621915
24,50,66.432902,0.26,0.2949923855594374
28,50,67.30401,0.22,0.32409294741133304
10,50,68.076867,0.4,0.42059721750933154
26,50,68.878639,0.24,0.3029551560239719
10,50,69.603343,0.4,0.4222065063649222
22,50,70.397382,0.28,0.3698065023082212
12,50,71.174094,0.38,0.4585213147960593
22,50,71.974169,0.28,0.3721485411140584
28,50,72.820255,0.22,0.2445141065830721
22,50,73.614028,0.28,0.39511698880976603
28,50,74.449342,0.22,0.29035079195413466
28,50,75.250616,0.22,0.2862468513853904
16,50,76.036832,0.34,0.3905685323931247
26,50,76.936706,0.24,0.3025279734769996
20,50,78.055648,0.3,0.3396579369321219
12,50,79.096999,0.38,0.4205541915117503
16,50,79.903555,0.34,0.4050179211469534
16,50,80.702541,0.34,0.3952610794207986
20,50,81.507294,0.3,0.3860419279698979
2,50,82.255687,0.48,0.6217791131749066
8,50,83.054407,0.42,0.5419261666215363
26,50,83.913915,0.24,0.2638198029094322
12,50,84.726405,0.38,0.4549401673197077
18,50,85.514093,0.32,0.44930435573338184
22,50,86.36864,0.28,0.3046958377801494
18,50,87.190114,0.32,0.3604207958530264
12,50,88.011526,0.38,0.4130849220103986
26,50,88.872834,0.24,0.2612253247417408
24,50,90.045689,0.26,0.3353519309043979
28,50,91.281906,0.22,0.25835333210263983
18,50,92.153327,0.32,0.32974100469320355
