#{"t_start": 1674664519.4585485, "env_id": "DeepRMSA-v1"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate,num_C_selected,num_L_selected,num_S_selected,num_E_selected
50,50,0.867187,0.0,0.0,0,47,2,1
50,50,1.311518,0.0,0.0,0,48,2,0
50,50,1.772123,0.0,0.0,0,46,4,0
50,50,2.204468,0.0,0.0,0,42,8,0
50,50,2.66459,0.0,0.0,0,39,11,0
50,50,3.105151,0.0,0.0,0,46,4,0
50,50,3.553248,0.0,0.0,0,43,7,0
50,50,4.005489,0.0,0.0,0,45,3,2
50,50,4.488251,0.0,0.0,0,25,12,13
50,50,4.949778,0.0,0.0,0,20,20,10
50,50,5.425138,0.0,0.0,0,16,19,15
50,50,5.920609,0.0,0.0,0,17,21,12
50,50,6.440636,0.0,0.0,0,11,26,13
50,50,6.928434,0.0,0.0,0,19,20,11
50,50,7.442088,0.0,0.0,0,13,23,14
50,50,7.949961,0.0,0.0,0,22,23,5
50,50,8.444725,0.0,0.0,0,11,33,6
50,50,8.951805,0.0,0.0,0,14,25,11
50,50,9.46379,0.0,0.0,0,12,21,17
50,50,9.985442,0.0,0.0,0,13,23,14
50,50,10.497206,0.0,0.0,0,15,22,13
50,50,11.035273,0.0,0.0,0,14,18,18
50,50,11.575254,0.0,0.0,0,21,19,10
50,50,12.114013,0.0,0.0,0,12,19,19
50,50,12.644674,0.0,0.0,0,14,27,9
50,50,13.175035,0.0,0.0,0,14,19,17
50,50,13.715785,0.0,0.0,0,20,15,15
50,50,14.264148,0.0,0.0,0,17,16,17
50,50,14.834455,0.0,0.0,0,13,17,20
50,50,15.395642,0.0,0.0,0,14,20,16
50,50,15.959011,0.0,0.0,0,21,17,12
50,50,16.531821,0.0,0.0,1,11,17,21
50,50,17.100628,0.0,0.0,1,10,21,18
50,50,17.672737,0.0,0.0,0,13,14,23
50,50,18.256562,0.0,0.0,1,11,18,20
50,50,18.828682,0.0,0.0,2,9,9,30
50,50,19.417626,0.0,0.0,0,8,10,32
50,50,20.008576,0.0,0.0,2,8,6,34
50,50,20.585795,0.0,0.0,0,9,11,30
50,50,21.204802,0.0,0.0,10,9,1,30
50,50,21.78985,0.0,0.0,5,11,10,24
50,50,22.384056,0.0,0.0,12,10,10,18
50,50,22.985669,0.0,0.0,14,10,7,19
50,50,23.562017,0.0,0.0,14,13,8,15
50,50,24.140233,0.0,0.0,18,8,8,16
50,50,24.728506,0.0,0.0,18,9,9,14
50,50,25.392026,0.0,0.0,20,8,9,13
50,50,26.009544,0.0,0.0,20,5,12,13
50,50,26.594845,0.0,0.0,22,12,8,8
50,50,27.19924,0.0,0.0,23,9,11,7
50,50,27.808184,0.0,0.0,28,6,6,10
50,50,28.401199,0.0,0.0,23,8,6,13
42,50,28.990211,0.08,0.12370595001568545,19,10,5,12
34,50,29.57158,0.16,0.20472579791923823,18,6,9,9
38,50,30.182479,0.12,0.1580607845199285,16,5,9,14
18,50,30.723771,0.32,0.3997041967091884,10,6,12,6
24,50,31.28118,0.26,0.30799790904338736,15,6,6,10
42,50,31.918273,0.08,0.08328893624578228,14,12,10,10
36,50,32.529659,0.14,0.12474161948413769,14,10,12,7
34,50,33.105649,0.16,0.22107149970125473,14,10,8,10
24,50,33.678436,0.26,0.28976856215310504,13,9,9,6
30,50,34.266235,0.2,0.21471191497296288,12,9,12,7
22,50,34.843598,0.28,0.2846526989369388,16,6,9,5
20,50,35.406047,0.3,0.3342936713723231,9,8,12,6
30,50,35.990313,0.2,0.24548772068251307,16,11,5,8
26,50,36.567358,0.24,0.2826570611293569,12,9,4,13
32,50,37.174932,0.18,0.20961573483882717,14,9,11,7
24,50,37.761772,0.26,0.23623311608576555,11,7,11,8
18,50,38.352849,0.32,0.38315807769183974,12,7,8,7
14,50,38.924011,0.36,0.390095487736379,13,7,6,6
20,50,39.505583,0.3,0.38866780367633125,11,10,6,8
22,50,40.095538,0.28,0.32939644750302244,11,7,6,12
16,50,40.678543,0.34,0.39680868297424265,14,4,9,6
30,50,41.277693,0.2,0.24415744157441574,9,11,10,10
14,50,41.846622,0.36,0.4775570272259014,13,3,9,7
30,50,42.511985,0.2,0.22590139808682855,11,3,19,7
16,50,43.071413,0.34,0.37782340862423,10,7,10,6
10,50,43.661266,0.4,0.48121996665685984,9,4,9,8
14,50,44.262415,0.36,0.44731031714171016,8,7,12,5
16,50,44.85286,0.34,0.3820466786355476,7,7,9,10
18,50,45.463985,0.32,0.3835426762931461,8,10,13,3
30,50,46.095656,0.2,0.25248392752776155,9,8,15,8
26,50,46.72609,0.24,0.30855855855855857,11,10,9,8
-8,50,47.275562,0.58,0.6366363792216698,6,4,9,2
10,50,47.879859,0.4,0.4721581840751906,6,7,7,10
10,50,48.496136,0.4,0.5470442881581449,15,3,6,6
8,50,49.085296,0.42,0.4742942050520059,7,9,8,5
2,50,49.68591,0.48,0.5646844776405248,10,3,7,6
16,50,50.305567,0.34,0.48987943811525275,6,7,9,11
2,50,50.911805,0.48,0.5443356392058216,5,5,7,9
16,50,51.557463,0.34,0.46683947086163746,5,7,13,8
4,50,52.180015,0.46,0.5312852555758049,5,7,10,5
8,50,52.826405,0.42,0.5030529172320217,8,9,7,5
10,50,53.467516,0.4,0.5206520743657844,5,6,11,8
20,50,54.119959,0.3,0.4018968583283936,8,4,10,13
10,50,54.729413,0.4,0.4848013279385828,9,10,4,7
2,50,55.353174,0.48,0.5428571428571428,10,7,7,2
4,50,55.985359,0.46,0.5720294426919033,5,8,9,5
12,50,56.655804,0.38,0.4954086317722681,8,5,9,9
12,50,57.29891,0.38,0.44434488251692555,6,6,8,11
6,50,57.938346,0.44,0.45593398876404495,13,5,4,6
12,50,58.611985,0.38,0.4751720290124605,8,7,6,10
12,50,59.269261,0.38,0.44204877130213727,13,5,8,5
2,50,59.910016,0.48,0.5803220370717094,6,7,7,6
6,50,60.562472,0.44,0.5488836104513064,7,4,8,9
-2,50,61.235124,0.52,0.6441159193264148,3,8,7,6
18,50,61.931022,0.32,0.38931077573776796,9,6,13,6
-4,50,62.564185,0.54,0.6634912880638333,8,5,4,6
6,50,63.242688,0.44,0.5583599464304111,9,5,7,7
