#{"t_start": 1674666375.6372578, "env_id": "DeepRMSA-v1"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate,num_C_selected,num_L_selected,num_S_selected,num_E_selected
50,50,0.882111,0.0,0.0,0,47,2,1
50,50,1.321558,0.0,0.0,0,48,2,0
50,50,1.747834,0.0,0.0,0,46,4,0
50,50,2.202957,0.0,0.0,0,42,8,0
50,50,2.645249,0.0,0.0,0,39,11,0
50,50,3.08555,0.0,0.0,0,46,4,0
50,50,3.581406,0.0,0.0,0,43,7,0
50,50,4.025517,0.0,0.0,0,45,5,0
46,50,4.48286,0.04,0.05614313414419179,0,27,11,10
48,50,4.947712,0.02,0.014229934924078091,0,18,17,14
46,50,5.435096,0.04,0.06540385989992852,0,18,16,14
50,50,5.927477,0.0,0.0,0,18,22,10
44,50,6.41618,0.06,0.06787780187997108,0,12,23,12
50,50,6.907448,0.0,0.0,0,16,16,18
50,50,7.422568,0.0,0.0,0,12,17,21
50,50,7.905486,0.0,0.0,0,22,19,9
50,50,8.423987,0.0,0.0,0,10,33,7
50,50,8.92967,0.0,0.0,0,14,19,17
50,50,9.454556,0.0,0.0,0,16,19,15
50,50,9.977166,0.0,0.0,0,13,23,14
50,50,10.505158,0.0,0.0,0,17,16,17
50,50,11.020206,0.0,0.0,0,15,15,20
50,50,11.564702,0.0,0.0,0,20,14,16
50,50,12.101221,0.0,0.0,0,11,20,19
50,50,12.66519,0.0,0.0,0,18,15,17
50,50,13.246753,0.0,0.0,0,12,11,27
50,50,13.821568,0.0,0.0,0,19,12,19
50,50,14.405064,0.0,0.0,0,16,8,26
50,50,14.965923,0.0,0.0,0,9,9,32
50,50,15.546138,0.0,0.0,0,15,6,29
50,50,16.122999,0.0,0.0,0,18,7,25
50,50,16.703205,0.0,0.0,0,11,11,28
50,50,17.298417,0.0,0.0,0,13,6,31
50,50,17.873932,0.0,0.0,0,10,6,34
50,50,18.494559,0.0,0.0,2,7,19,22
50,50,19.083797,0.0,0.0,1,11,23,15
50,50,19.686394,0.0,0.0,1,10,24,15
50,50,20.283936,0.0,0.0,5,8,25,12
50,50,20.899914,0.0,0.0,0,8,30,12
50,50,21.525311,0.0,0.0,4,9,24,13
50,50,22.131754,0.0,0.0,15,9,15,11
50,50,22.781938,0.0,0.0,15,4,16,15
50,50,23.4057,0.0,0.0,16,10,12,12
50,50,24.014309,0.0,0.0,14,8,12,16
50,50,24.61961,0.0,0.0,18,8,10,14
50,50,25.201965,0.0,0.0,26,8,5,11
50,50,25.815869,0.0,0.0,23,9,11,7
50,50,26.431568,0.0,0.0,23,5,10,12
50,50,27.063454,0.0,0.0,22,9,7,12
50,50,27.67745,0.0,0.0,28,5,6,11
50,50,28.31301,0.0,0.0,21,11,7,11
40,50,28.905336,0.1,0.142221801665405,18,9,14,4
40,50,29.50532,0.1,0.13541775593433023,14,7,7,17
34,50,30.083549,0.16,0.21768647504849234,19,7,11,5
38,50,30.695332,0.12,0.159322746871385,16,8,9,11
16,50,31.285709,0.34,0.3814938066185986,11,8,7,7
20,50,31.829863,0.3,0.34009409304756927,12,8,8,7
44,50,32.435644,0.06,0.06490854199964483,11,13,14,9
40,50,33.031231,0.1,0.10371169228003954,20,9,9,7
30,50,33.606683,0.2,0.2517426807408883,17,11,8,4
20,50,34.180053,0.3,0.34244423499842913,17,0,8,10
