#{"t_start": 1674659799.5230513, "env_id": "DeepRMSA-v1"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate,num_C_selected,num_L_selected,num_S_selected,num_E_selected
50,50,0.85634,0.0,0.0,0,47,2,1
50,50,1.303579,0.0,0.0,0,48,2,0
50,50,1.740396,0.0,0.0,0,44,4,2
50,50,2.200467,0.0,0.0,0,40,9,1
50,50,2.664353,0.0,0.0,0,43,7,0
50,50,3.116874,0.0,0.0,0,47,3,0
50,50,3.599886,0.0,0.0,0,46,3,1
50,50,4.075152,0.0,0.0,0,45,5,0
50,50,4.531745,0.0,0.0,0,38,9,3
50,50,4.997648,0.0,0.0,0,36,11,3
50,50,5.480938,0.0,0.0,0,24,16,10
50,50,5.956157,0.0,0.0,0,23,21,6
50,50,6.454738,0.0,0.0,0,27,13,10
50,50,6.94239,0.0,0.0,0,32,15,3
50,50,7.446442,0.0,0.0,0,25,18,7
50,50,7.953194,0.0,0.0,0,30,14,6
50,50,8.455775,0.0,0.0,0,22,20,8
50,50,8.969988,0.0,0.0,0,23,17,10
50,50,9.492311,0.0,0.0,0,24,14,12
50,50,10.01786,0.0,0.0,0,31,11,8
50,50,10.563891,0.0,0.0,0,28,10,12
50,50,11.10264,0.0,0.0,0,27,11,12
50,50,11.625856,0.0,0.0,0,31,13,6
50,50,12.18684,0.0,0.0,0,28,8,14
50,50,12.735344,0.0,0.0,0,27,11,12
50,50,13.287783,0.0,0.0,0,23,15,12
50,50,13.838139,0.0,0.0,0,28,8,14
50,50,14.407825,0.0,0.0,0,26,15,9
50,50,14.947396,0.0,0.0,0,23,16,11
50,50,15.498992,0.0,0.0,0,25,16,9
50,50,16.047612,0.0,0.0,0,27,13,10
50,50,16.608418,0.0,0.0,1,17,16,16
50,50,17.193413,0.0,0.0,2,15,14,19
50,50,17.751252,0.0,0.0,0,16,11,23
50,50,18.326507,0.0,0.0,0,16,15,19
50,50,18.898651,0.0,0.0,1,12,13,24
50,50,19.495074,0.0,0.0,0,20,10,20
50,50,20.081964,0.0,0.0,0,19,10,21
50,50,20.680863,0.0,0.0,0,15,11,24
50,50,21.28473,0.0,0.0,1,17,11,21
50,50,21.871533,0.0,0.0,0,17,11,22
50,50,22.478706,0.0,0.0,4,20,6,20
50,50,23.104812,0.0,0.0,0,14,9,27
50,50,23.733665,0.0,0.0,0,17,9,24
50,50,24.379881,0.0,0.0,0,18,10,22
50,50,25.025336,0.0,0.0,2,19,6,23
50,50,25.667621,0.0,0.0,1,15,9,25
50,50,26.300613,0.0,0.0,3,18,8,21
50,50,26.955433,0.0,0.0,1,15,13,21
50,50,27.632967,0.0,0.0,1,23,11,15
50,50,28.289963,0.0,0.0,0,16,13,21
50,50,28.91953,0.0,0.0,1,13,13,23
50,50,29.547285,0.0,0.0,1,23,10,16
50,50,30.209583,0.0,0.0,3,16,11,20
50,50,30.863595,0.0,0.0,0,24,10,16
50,50,31.512751,0.0,0.0,0,13,19,18
50,50,32.140887,0.0,0.0,2,22,12,14
50,50,32.802946,0.0,0.0,2,16,18,14
50,50,33.487552,0.0,0.0,3,19,14,14
50,50,34.117712,0.0,0.0,1,17,16,16
50,50,34.779079,0.0,0.0,2,17,16,15
50,50,35.445871,0.0,0.0,1,18,17,14
50,50,36.123838,0.0,0.0,3,18,19,10
50,50,36.788988,0.0,0.0,4,15,17,14
50,50,37.426342,0.0,0.0,3,18,15,14
50,50,38.141807,0.0,0.0,2,17,17,14
50,50,38.799612,0.0,0.0,2,14,15,19
50,50,39.43944,0.0,0.0,2,20,14,14
50,50,40.125343,0.0,0.0,1,17,16,16
50,50,40.816845,0.0,0.0,1,20,20,9
50,50,41.505203,0.0,0.0,0,25,16,9
50,50,42.159368,0.0,0.0,3,23,14,10
50,50,42.838788,0.0,0.0,6,18,11,15
50,50,43.5015,0.0,0.0,5,23,12,10
50,50,44.167833,0.0,0.0,4,22,19,5
50,50,44.826378,0.0,0.0,9,19,9,13
50,50,45.470883,0.0,0.0,6,16,12,16
50,50,46.163007,0.0,0.0,5,19,10,16
50,50,46.825624,0.0,0.0,3,18,10,19
50,50,47.505595,0.0,0.0,5,14,15,16
50,50,48.197408,0.0,0.0,8,18,8,16
50,50,48.882123,0.0,0.0,6,25,7,12
50,50,49.555021,0.0,0.0,5,20,13,12
50,50,50.2253,0.0,0.0,6,16,11,17
50,50,50.883654,0.0,0.0,5,20,12,13
50,50,51.582567,0.0,0.0,9,17,10,14
50,50,52.269908,0.0,0.0,5,20,11,14
50,50,52.956297,0.0,0.0,7,17,15,11
50,50,53.64471,0.0,0.0,6,17,18,9
50,50,54.344123,0.0,0.0,7,16,11,16
50,50,55.06103,0.0,0.0,9,12,12,17
50,50,55.734107,0.0,0.0,9,17,13,11
50,50,56.445413,0.0,0.0,8,18,13,11
50,50,57.118234,0.0,0.0,10,17,9,14
50,50,57.815986,0.0,0.0,7,20,14,9
50,50,58.492192,0.0,0.0,9,18,7,16
50,50,59.189463,0.0,0.0,13,13,7,17
50,50,59.858637,0.0,0.0,4,17,16,13
50,50,60.605845,0.0,0.0,6,21,9,14
50,50,61.313536,0.0,0.0,2,18,13,17
50,50,62.003486,0.0,0.0,5,15,18,12
50,50,62.656714,0.0,0.0,3,19,12,16
50,50,63.324429,0.0,0.0,3,24,14,9
50,50,64.036938,0.0,0.0,5,21,15,9
50,50,64.734686,0.0,0.0,3,20,10,17
50,50,65.421848,0.0,0.0,3,19,12,16
50,50,66.093347,0.0,0.0,7,19,14,10
46,50,66.820254,0.04,0.058703794170330566,6,16,13,13
48,50,67.53543,0.02,0.03739569382919543,6,23,11,9
48,50,68.233204,0.02,0.03570341819657166,5,15,16,13
48,50,68.898457,0.02,0.03572392693242149,2,15,11,21
48,50,69.592734,0.02,0.03539744499645139,8,22,10,9
46,50,70.302167,0.04,0.05723996064752705,7,16,12,13
48,50,70.998131,0.02,0.031797280109578316,10,15,10,14
48,50,71.733251,0.02,0.03393762350717416,6,13,15,15
48,50,72.434363,0.02,0.02997679814385151,3,17,17,12
44,50,73.133714,0.06,0.09669343002676337,4,17,15,11
48,50,73.844867,0.02,0.028411287205257055,6,18,8,17
44,50,74.595773,0.06,0.09653551532033426,6,13,12,16
46,50,75.316571,0.04,0.0594778018663399,1,18,14,15
50,50,76.02381,0.0,0.0,9,17,10,14
50,50,76.777204,0.0,0.0,5,16,13,16
50,50,77.529139,0.0,0.0,5,18,13,14
48,50,78.242893,0.02,0.035501250721570135,5,19,9,16
50,50,78.9613,0.0,0.0,4,17,12,17
50,50,79.713932,0.0,0.0,11,23,7,9
50,50,80.471084,0.0,0.0,5,23,5,17
50,50,81.17574,0.0,0.0,8,12,10,20
50,50,81.899922,0.0,0.0,9,12,16,13
50,50,82.626609,0.0,0.0,6,18,13,13
44,50,83.387815,0.06,0.09965034965034965,5,11,16,15
50,50,84.109778,0.0,0.0,1,16,18,15
44,50,84.819865,0.06,0.093125,4,20,14,9
48,50,85.580433,0.02,0.02292674189503851,10,15,12,12
48,50,86.279215,0.02,0.036760951700194014,3,17,20,9
50,50,87.057713,0.0,0.0,9,16,12,13
48,50,87.831556,0.02,0.029621698786581014,8,9,17,15
48,50,88.543906,0.02,0.030250091945568224,5,17,17,10
50,50,89.236485,0.0,0.0,6,17,9,18
50,50,89.967549,0.0,0.0,5,21,13,11
48,50,90.684006,0.02,0.025501560410164957,5,17,12,15
48,50,91.389569,0.02,0.030149716055756323,6,26,9,8
50,50,92.109094,0.0,0.0,3,22,13,12
48,50,92.845414,0.02,0.03051271363067945,3,20,14,12
48,50,93.57863,0.02,0.03376116071428571,8,16,16,9
50,50,94.262709,0.0,0.0,3,21,13,13
48,50,94.965572,0.02,0.03971517400461338,2,19,14,14
48,50,95.696701,0.02,0.03368421052631579,7,14,17,11
48,50,96.419889,0.02,0.03419373273645109,4,18,13,14
50,50,97.169561,0.0,0.0,5,17,15,13
50,50,97.918941,0.0,0.0,6,19,12,13
46,50,98.696183,0.04,0.065625,6,17,8,17
44,50,99.427049,0.06,0.08716191181919229,4,13,16,14
50,50,100.171816,0.0,0.0,5,16,17,12
50,50,100.919345,0.0,0.0,4,24,10,12
46,50,101.643412,0.04,0.07686034658511723,5,16,12,15
50,50,102.425962,0.0,0.0,4,21,14,11
48,50,103.16957,0.02,0.036492935342004304,3,19,12,15
50,50,103.90934,0.0,0.0,5,21,13,11
48,50,104.657398,0.02,0.035424910495571886,3,21,11,14
50,50,105.513286,0.0,0.0,1,20,10,19
50,50,106.873508,0.0,0.0,2,23,11,14
50,50,108.214066,0.0,0.0,6,19,9,16
50,50,109.636517,0.0,0.0,5,18,17,10
50,50,110.571836,0.0,0.0,4,21,14,11
50,50,111.328575,0.0,0.0,5,21,12,12
50,50,112.027615,0.0,0.0,3,19,13,15
50,50,112.750343,0.0,0.0,3,21,14,12
50,50,113.519547,0.0,0.0,5,15,20,10
48,50,114.234015,0.02,0.035396419437340156,6,17,12,14
50,50,114.945158,0.0,0.0,5,14,16,15
50,50,115.752829,0.0,0.0,4,14,20,12
50,50,116.552204,0.0,0.0,5,17,11,17
50,50,117.287541,0.0,0.0,3,19,18,10
50,50,118.022662,0.0,0.0,2,25,12,11
50,50,118.746706,0.0,0.0,2,20,12,16
50,50,119.524327,0.0,0.0,9,16,14,11
50,50,120.256904,0.0,0.0,4,17,13,16
50,50,120.965714,0.0,0.0,3,21,14,12
50,50,121.71948,0.0,0.0,7,13,15,15
50,50,122.459383,0.0,0.0,7,20,6,17
50,50,123.229627,0.0,0.0,7,22,8,13
50,50,123.974882,0.0,0.0,6,17,11,16
50,50,124.71272,0.0,0.0,6,21,9,14
48,50,125.460579,0.02,0.024957118353344767,7,16,15,11
48,50,126.185185,0.02,0.03286912896808235,8,19,12,10
50,50,126.93778,0.0,0.0,7,16,18,9
48,50,127.697661,0.02,0.033867443554260745,7,14,12,16
50,50,128.439113,0.0,0.0,5,17,14,14
50,50,129.166103,0.0,0.0,6,13,19,12
50,50,129.920817,0.0,0.0,6,18,18,8
48,50,130.66184,0.02,0.039991900374607675,6,18,15,10
44,50,131.384334,0.06,0.09004283591223008,6,17,11,13
50,50,132.140781,0.0,0.0,4,18,17,11
50,50,132.915734,0.0,0.0,9,17,12,12
48,50,133.665718,0.02,0.03235267976179895,8,18,12,11
46,50,134.41778,0.04,0.06975522638932662,3,19,11,15
50,50,135.126098,0.0,0.0,2,24,12,12
50,50,135.907549,0.0,0.0,3,15,11,21
50,50,136.662199,0.0,0.0,5,21,7,17
50,50,137.375181,0.0,0.0,6,17,14,13
50,50,138.120244,0.0,0.0,4,16,13,17
48,50,138.867433,0.02,0.035223455156265904,1,17,16,15
50,50,139.616717,0.0,0.0,8,16,14,12
46,50,140.363073,0.04,0.06930329374311253,4,19,13,12
46,50,141.095882,0.04,0.060612122424484896,5,19,11,13
50,50,141.817948,0.0,0.0,4,16,15,15
46,50,142.575807,0.04,0.06526748971193416,4,10,15,19
48,50,143.311398,0.02,0.02709951905290418,2,19,8,20
50,50,144.062104,0.0,0.0,3,24,12,11
48,50,144.843699,0.02,0.02844963395422111,3,11,14,21
50,50,145.588267,0.0,0.0,5,21,12,12
48,50,146.366668,0.02,0.03397260273972603,3,14,20,12
50,50,147.099787,0.0,0.0,4,21,12,13
48,50,147.885065,0.02,0.03542408472564594,6,15,14,14
