#{"t_start": 1674253400.377928, "env_id": "DeepRMSA-v0"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate
50,50,7.969389,0.0,0.0
50,50,8.365315,0.0,0.0
50,50,10.678176,0.0,0.0
50,50,11.086048,0.0,0.0
50,50,11.522588,0.0,0.0
50,50,11.929687,0.0,0.0
50,50,12.356738,0.0,0.0
50,50,12.788803,0.0,0.0
50,50,13.218584,0.0,0.0
50,50,13.674661,0.0,0.0
50,50,14.137668,0.0,0.0
50,50,14.629316,0.0,0.0
50,50,15.074902,0.0,0.0
50,50,15.523455,0.0,0.0
50,50,16.024893,0.0,0.0
50,50,16.495307,0.0,0.0
50,50,16.985288,0.0,0.0
50,50,17.469256,0.0,0.0
50,50,17.958661,0.0,0.0
50,50,18.450944,0.0,0.0
50,50,19.005797,0.0,0.0
50,50,19.572286,0.0,0.0
50,50,20.133179,0.0,0.0
50,50,20.653005,0.0,0.0
50,50,21.200755,0.0,0.0
50,50,21.730006,0.0,0.0
50,50,22.2788,0.0,0.0
50,50,22.803769,0.0,0.0
50,50,23.37847,0.0,0.0
42,50,23.931192,0.08,0.06055486395162724
38,50,24.49548,0.12,0.1354069659154405
44,50,25.040135,0.06,0.06360275583935474
46,50,25.645669,0.04,0.032072368421052634
46,50,26.220278,0.04,0.06241799437675726
42,50,26.806271,0.08,0.08098620977852068
38,50,27.375966,0.12,0.13731315569584998
44,50,27.948956,0.06,0.08339124391938846
40,50,28.522278,0.1,0.10324039186134137
34,50,29.095587,0.16,0.16380722476075524
26,50,30.133103,0.24,0.24591565349544073
36,50,30.986325,0.14,0.16229258381307146
36,50,31.751215,0.14,0.1459419892030378
36,50,32.771584,0.14,0.12679761487197475
34,50,33.360134,0.16,0.17003710575139147
38,50,33.936053,0.12,0.10664573521716379
34,50,34.502516,0.16,0.16376150889425226
28,50,35.765248,0.22,0.24742948778417131
40,50,36.350142,0.1,0.10981653769237458
42,50,36.96508,0.08,0.10072395341517154
40,50,37.569041,0.1,0.11127596439169139
38,50,38.193058,0.12,0.1441371586111829
36,50,38.759975,0.14,0.172361997746902
36,50,39.518057,0.14,0.19119929062292174
26,50,40.081436,0.24,0.2658284287497771
30,50,40.692575,0.2,0.2359077598828697
30,50,41.271452,0.2,0.22918651171651744
6,50,41.810163,0.44,0.5144855967078189
30,50,42.422926,0.2,0.23624817643525273
42,50,43.055229,0.08,0.09361493123772102
30,50,43.658093,0.2,0.29663386846193684
24,50,44.238866,0.26,0.2658069483206621
34,50,44.854926,0.16,0.21652821232063868
22,50,45.446532,0.28,0.29310344827586204
26,50,46.069796,0.24,0.2738616258497067
8,50,46.728473,0.42,0.5489020025152366
18,50,47.298199,0.32,0.41134518323458413
24,50,47.904002,0.26,0.31939410835424215
22,50,48.500483,0.28,0.3324545711326617
20,50,49.162722,0.3,0.34972030981067126
22,50,49.860508,0.28,0.2909387598387406
16,50,50.505732,0.34,0.3776819829528755
12,50,51.110561,0.38,0.4281465114302711
22,50,51.745955,0.28,0.3555100280353677
26,50,52.35777,0.24,0.3206776893243519
22,50,52.989644,0.28,0.36902205738824906
34,50,53.63226,0.16,0.20099850224663005
18,50,54.232715,0.32,0.3048607415291822
36,50,54.8869,0.14,0.14912824143729533
18,50,55.523268,0.32,0.4062527994266774
20,50,56.099868,0.3,0.4151039543416225
16,50,56.739053,0.34,0.41024770953512046
20,50,57.362221,0.3,0.3973961562306262
30,50,58.008048,0.2,0.196706405334411
24,50,58.649132,0.26,0.3636185050584422
12,50,59.264928,0.38,0.47979007457876804
20,50,59.887179,0.3,0.36551724137931035
24,50,60.561019,0.26,0.3012254203476774
26,50,61.185496,0.24,0.32817904374364193
22,50,61.889982,0.28,0.36546496939072975
32,50,62.536275,0.18,0.21682619647355164
12,50,63.162821,0.38,0.42036139268400174
18,50,63.801739,0.32,0.4234355573974306
28,50,64.474703,0.22,0.24291822554783538
14,50,65.124161,0.36,0.4413363732023851
16,50,65.767775,0.34,0.37559389847461866
14,50,66.402431,0.36,0.43922773146116717
16,50,67.05823,0.34,0.40145135280415695
10,50,67.717315,0.4,0.490212146043886
10,50,68.371053,0.4,0.5427385143063453
20,50,69.03706,0.3,0.339277334584702
12,50,69.697202,0.38,0.4711426453457588
6,50,70.331898,0.44,0.5486041647722106
10,50,71.001634,0.4,0.45250800426894344
16,50,71.654523,0.34,0.3950297301417899
8,50,72.336241,0.42,0.5235701906412479
10,50,73.008056,0.4,0.49575534417510486
26,50,73.726564,0.24,0.33366425096793406
26,50,74.437538,0.24,0.3290566734354809
24,50,75.170357,0.26,0.3207891534851382
