#{"t_start": 1677947200.6972942, "env_id": "DeepRMSA-v0"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate
50,50,15.143252,0.0,0.0
50,50,15.456661,0.0,0.0
50,50,17.947824,0.0,0.0
50,50,18.286699,0.0,0.0
50,50,18.645947,0.0,0.0
50,50,18.982263,0.0,0.0
50,50,19.32755,0.0,0.0
50,50,19.670542,0.0,0.0
50,50,20.02997,0.0,0.0
50,50,20.396606,0.0,0.0
50,50,20.751898,0.0,0.0
50,50,21.097485,0.0,0.0
50,50,21.461377,0.0,0.0
50,50,21.838235,0.0,0.0
44,50,22.232756,0.06,0.07727920227920228
34,50,22.804101,0.16,0.16331551709510478
34,50,23.399592,0.16,0.16523702031602708
26,50,23.963782,0.24,0.21871820956256358
24,50,24.550459,0.26,0.3176986671165851
4,50,24.960301,0.46,0.5027739881764438
4,50,25.297771,0.46,0.5816060927407694
0,50,25.628806,0.5,0.5471204188481675
-6,50,25.975271,0.56,0.6057682223387519
-8,50,26.321881,0.58,0.559152442613302
4,50,26.693097,0.46,0.4974290780141844
6,50,27.034253,0.44,0.5557391388861891
-10,50,27.371106,0.6,0.6425076452599389
-4,50,27.709282,0.54,0.5803384673892374
2,50,28.082738,0.48,0.5637634770889488
-4,50,28.460956,0.54,0.6330250755824293
-8,50,28.847065,0.58,0.702551685602533
2,50,29.214087,0.48,0.4772307175264661
-2,50,29.594639,0.52,0.5707236842105263
4,50,29.965686,0.46,0.4964386129334583
-12,50,30.339311,0.62,0.7203510238194735
-6,50,30.707554,0.56,0.6277040200538483
-8,50,31.091433,0.58,0.6044872431251861
-10,50,31.464845,0.6,0.6983798040693293
-14,50,31.852923,0.64,0.6702301922579532
-4,50,32.257537,0.54,0.5484422492401215
0,50,32.659795,0.5,0.6606840501185235
-14,50,33.031504,0.64,0.7283374508189221
-4,50,33.448534,0.54,0.5783935461241669
-16,50,33.849922,0.66,0.690352504638219
-10,50,34.273751,0.6,0.6617477760334903
0,50,34.684276,0.5,0.5474211137927952
-6,50,35.342271,0.56,0.5534383548721818
-6,50,36.020905,0.56,0.5689940005216938
2,50,36.740193,0.48,0.591123701605288
-16,50,37.349795,0.66,0.7103857566765579
-10,50,37.780242,0.6,0.7214611872146118
-8,50,38.230112,0.58,0.608618099887345
-10,50,38.687579,0.6,0.6545111948570161
-4,50,39.122912,0.54,0.5774924201890494
0,50,39.58794,0.5,0.5857430453879942
-12,50,40.030899,0.62,0.5783958849304629
-14,50,40.49152,0.64,0.6499588477366255
-6,50,40.934883,0.56,0.6297949026001888
4,50,41.412264,0.46,0.5582514734774067
12,50,41.862613,0.38,0.518073537027447
-8,50,42.340123,0.58,0.6866519103069965
8,50,42.804296,0.42,0.5300463911964614
-6,50,43.291538,0.56,0.6303127506014434
-14,50,43.753137,0.64,0.7136604898035199
-6,50,44.26398,0.56,0.6835638966818226
-6,50,44.77086,0.56,0.5991880623217029
-8,50,45.251367,0.58,0.7111792584332312
-14,50,45.720525,0.64,0.7035119103662555
-10,50,46.215971,0.6,0.6351118760757315
-16,50,46.695642,0.66,0.6759454789786907
-6,50,47.209171,0.56,0.6337807387087293
-10,50,48.027852,0.6,0.6333814906093311
