#{"t_start": 1677716289.5049388, "env_id": "DeepRMSA-v1"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate,num_C_selected,num_L_selected,num_S_selected,num_E_selected,num_path1_selected,num_path2_selected,num_path3_selected,num_path4_selected,num_path5_selected,total_path_length_per_episode
50,50,0.582681,0.0,0.0,0,49,1,0,0,1,0,49,0,38089
50,50,1.479411,0.0,0.0,0,46,4,0,0,3,0,47,0,39545
50,50,2.401702,0.0,0.0,0,45,5,0,0,4,0,46,0,37401
50,50,3.23453,0.0,0.0,0,48,2,0,0,1,0,49,0,40627
50,50,3.856146,0.0,0.0,0,48,2,0,0,0,0,50,0,38018
50,50,4.45176,0.0,0.0,0,50,0,0,0,0,0,50,0,37935
50,50,5.060435,0.0,0.0,0,48,2,0,0,2,0,48,0,39418
50,50,5.724462,0.0,0.0,0,46,4,0,0,0,0,50,0,37520
50,50,6.333622,0.0,0.0,0,16,30,4,1,7,2,40,0,36021
50,50,6.956555,0.0,0.0,0,18,26,6,7,6,0,36,1,34849
50,50,7.577947,0.0,0.0,0,14,36,0,2,4,0,44,0,39113
50,50,8.215921,0.0,0.0,0,12,38,0,3,5,0,42,0,36772
50,50,8.872595,0.0,0.0,0,10,38,2,1,12,2,35,0,35940
50,50,9.498995,0.0,0.0,0,15,33,2,4,6,1,38,1,36730
50,50,10.153453,0.0,0.0,0,10,34,6,6,10,0,34,0,36127
50,50,10.813251,0.0,0.0,0,17,27,6,2,6,0,41,1,35424
50,50,11.478915,0.0,0.0,0,12,35,3,1,5,1,43,0,34796
50,50,12.145955,0.0,0.0,0,13,35,2,3,2,0,45,0,35958
50,50,12.826686,0.0,0.0,0,9,41,0,2,2,0,43,3,38236
50,50,13.805095,0.0,0.0,0,11,37,2,5,2,0,42,1,34459
50,50,14.889564,0.0,0.0,0,13,35,2,8,5,0,35,2,34535
50,50,15.747892,0.0,0.0,0,16,28,6,10,11,2,25,2,30022
48,50,16.447536,0.02,0.005524335651014382,8,7,24,10,5,21,1,15,7,32476
48,50,17.145199,0.02,0.006894049346879536,12,17,15,5,9,15,9,12,4,29154
46,50,17.811339,0.04,0.011625811103100216,12,12,16,8,10,18,11,4,5,27926
50,50,18.554186,0.0,0.0,15,12,18,5,10,21,4,9,6,28731
50,50,19.281207,0.0,0.0,18,10,17,5,9,12,8,14,7,30363
50,50,19.999639,0.0,0.0,13,12,20,5,11,16,4,14,5,30505
50,50,20.701362,0.0,0.0,18,10,15,7,10,20,5,10,5,30665
50,50,21.424536,0.0,0.0,20,8,15,7,12,17,4,16,1,30428
50,50,22.161339,0.0,0.0,17,17,9,7,18,18,5,7,2,28147
50,50,22.885447,0.0,0.0,12,17,17,4,16,13,6,11,4,27608
50,50,23.611046,0.0,0.0,18,12,11,9,14,19,3,10,4,27096
50,50,24.332496,0.0,0.0,18,13,15,4,12,19,5,9,5,29257
50,50,25.055895,0.0,0.0,16,12,13,9,9,14,7,15,5,31523
50,50,26.053825,0.0,0.0,8,14,13,15,9,11,10,14,6,31501
50,50,27.272078,0.0,0.0,7,9,21,13,10,15,7,13,5,31722
50,50,28.24358,0.0,0.0,11,7,16,16,13,15,7,8,7,29199
50,50,29.011873,0.0,0.0,6,5,16,23,12,15,11,7,5,28765
50,50,29.826684,0.0,0.0,13,7,15,15,12,14,5,11,8,27781
50,50,30.599384,0.0,0.0,6,9,9,26,8,15,7,14,6,29639
50,50,31.355443,0.0,0.0,13,6,14,17,8,21,10,9,2,28403
50,50,32.117568,0.0,0.0,11,9,9,21,13,12,12,10,3,29142
50,50,32.867414,0.0,0.0,8,4,14,24,10,17,4,17,2,30854
50,50,33.617613,0.0,0.0,13,9,10,18,14,18,6,6,6,27909
50,50,34.38796,0.0,0.0,11,6,17,16,6,20,5,14,5,30290
50,50,35.140227,0.0,0.0,15,8,10,17,8,15,9,12,6,31553
50,50,35.896474,0.0,0.0,10,9,8,23,16,12,6,10,6,28310
50,50,36.663639,0.0,0.0,9,8,10,23,12,16,5,16,1,27037
50,50,37.462601,0.0,0.0,10,4,9,27,9,20,8,10,3,27378
50,50,38.571835,0.0,0.0,6,9,11,24,13,15,7,10,5,27988
50,50,39.963453,0.0,0.0,8,12,7,23,9,13,9,14,5,30661
50,50,41.326606,0.0,0.0,7,10,16,17,18,13,5,10,4,26411
50,50,42.570336,0.0,0.0,8,15,6,21,13,16,6,13,2,28936
50,50,43.397653,0.0,0.0,12,7,10,21,13,13,7,13,4,31393
50,50,44.235927,0.0,0.0,3,10,6,31,11,9,8,19,3,30611
50,50,45.052182,0.0,0.0,8,7,7,28,13,18,5,11,3,27599
50,50,45.859463,0.0,0.0,7,12,10,21,14,19,1,14,2,26413
50,50,46.670139,0.0,0.0,13,10,7,20,13,21,4,9,3,27281
50,50,47.469504,0.0,0.0,4,9,8,29,12,16,6,13,3,30004
50,50,48.347181,0.0,0.0,8,6,10,26,14,17,6,9,4,28248
50,50,49.145441,0.0,0.0,6,9,6,29,16,14,4,15,1,27705
50,50,49.988634,0.0,0.0,7,6,5,32,6,14,4,22,4,32313
50,50,50.79865,0.0,0.0,6,6,9,29,12,17,2,17,2,27798
50,50,51.69199,0.0,0.0,7,12,7,24,14,15,2,18,1,27378
50,50,53.077382,0.0,0.0,4,11,9,26,11,20,0,15,4,27495
50,50,54.277039,0.0,0.0,3,3,7,37,6,20,8,12,4,30722
50,50,55.127208,0.0,0.0,5,8,9,28,14,14,3,15,4,28850
36,50,55.953047,0.14,0.1811071521682454,2,8,7,26,19,15,4,5,0,20221
40,50,56.753508,0.1,0.13424452349747237,7,13,8,17,23,10,4,8,0,20532
30,50,57.536062,0.2,0.26028046238393027,6,4,6,24,11,14,2,9,4,21712
28,50,58.311537,0.22,0.2596484701943644,1,12,10,16,13,13,2,7,4,21295
40,50,59.15861,0.1,0.09922242021707435,1,10,9,25,16,9,4,14,2,24184
46,50,60.048685,0.04,0.04653546535465355,3,16,9,20,16,17,6,8,1,25253
34,50,60.845878,0.16,0.2061389677283717,2,7,14,19,18,11,1,10,2,21107
44,50,61.680081,0.06,0.08793230316409124,4,9,10,24,17,13,2,13,2,25380
32,50,62.456398,0.18,0.21579242113123018,4,5,14,18,14,10,8,5,4,21353
40,50,63.27221,0.1,0.1778954594488575,4,8,14,19,14,13,2,12,4,24035
40,50,64.245551,0.1,0.13087113608992373,4,9,10,22,20,9,4,7,5,24054
30,50,65.57656,0.2,0.2535008976660682,6,6,10,18,14,13,3,6,4,19867
30,50,66.671269,0.2,0.2074967856789635,5,7,13,15,14,16,3,5,2,21580
