,Source,Destination,Reason,Path,Nodes,Band,Available_Other
0,7,12,Slots Full,1,,2,1
1,13,7,Slots Full,1,,2,1
2,13,5,Slots Full,1,,2,1
3,5,13,Slots Full,1,,2,1
4,3,10,Slots Full,1,,3,0
5,12,4,Slots Full,1,,3,0
6,9,5,Slots Full,1,,3,0
7,5,15,Slots Full,1,,3,0
8,13,4,Slots Full,1,,3,0
9,15,3,Slots Full,1,,3,0
10,3,12,Slots Full,1,,3,0
11,12,6,Slots Full,1,,3,0
12,4,13,Slots Full,1,,3,0
13,12,3,Slots Full,1,,3,0
14,14,1,Slots Full,1,,3,0
15,3,15,Slots Full,1,,3,0
16,3,17,Slots Full,1,,3,0
17,4,14,Slots Full,1,,3,0
18,6,10,Slots Full,1,,3,0
19,12,3,Slots Full,1,,3,0
20,15,3,Slots Full,1,,3,0
21,4,12,Slots Full,1,,3,0
22,1,13,Slots Full,1,,3,0
23,12,5,Slots Full,4,,0,0
24,5,15,Slots Full,1,,3,0
25,5,13,Slots Full,1,,3,0
26,12,6,Slots Full,1,,3,0
27,4,12,Slots Full,1,,3,0
28,6,16,Slots Full,1,,3,0
29,12,4,Slots Full,1,,3,0
30,3,16,Slots Full,1,,3,0
31,5,12,Slots Full,1,,3,0
32,5,10,Slots Full,1,,3,0
33,1,14,Slots Full,1,,3,0
34,4,16,Slots Full,1,,3,0
35,5,13,Slots Full,1,,3,0
36,3,10,Slots Full,1,,3,0
37,13,2,Slots Full,1,,3,0
38,13,2,Slots Full,1,,3,0
39,5,17,Slots Full,1,,3,0
40,2,15,Slots Full,1,,3,0
41,6,16,Slots Full,1,,3,0
42,4,15,Slots Full,1,,3,0
43,5,15,Slots Full,1,,3,0
44,16,5,Slots Full,1,,3,0
45,15,3,Slots Full,1,,3,0
46,1,13,Slots Full,1,,3,0
47,13,1,Slots Full,1,,3,0
48,15,6,Slots Full,1,,3,0
49,16,4,Slots Full,1,,3,0
50,2,12,Slots Full,1,,3,0
51,15,6,Slots Full,1,,3,0
52,1,12,Slots Full,1,,3,0
53,12,3,Slots Full,1,,3,0
54,13,5,Slots Full,1,,3,0
55,10,5,Slots Full,1,,3,0
56,12,4,Slots Full,1,,3,0
57,5,12,Slots Full,1,,3,0
58,15,5,Slots Full,1,,3,0
59,6,9,Slots Full,1,,3,0
60,14,6,Slots Full,1,,3,0
61,14,5,Slots Full,1,,3,0
62,12,7,Slots Full,1,,3,0
63,14,5,Slots Full,1,,2,0
64,8,15,Slots Full,1,,3,0
65,6,14,Slots Full,1,,3,0
66,5,13,Slots Full,1,,3,0
67,13,6,Slots Full,1,,3,0
68,8,5,Slots Full,1,,3,0
69,4,16,Slots Full,1,,3,0
70,7,15,Slots Full,1,,3,0
71,3,17,Slots Full,1,,3,0
72,15,4,Slots Full,1,,3,0
73,16,4,Slots Full,1,,3,0
74,5,14,Slots Full,1,,3,0
75,1,13,Slots Full,1,,3,0
76,12,4,Slots Full,1,,3,0
77,17,3,Slots Full,1,,3,0
78,5,16,Slots Full,1,,3,0
79,2,15,Slots Full,1,,3,0
80,5,15,Slots Full,1,,3,0
81,12,2,Slots Full,1,,3,0
82,7,13,Slots Full,1,,3,0
83,16,4,Slots Full,1,,3,0
84,12,4,Slots Full,1,,3,0
85,13,3,Slots Full,0,,0,0
86,15,7,Slots Full,1,,3,0
87,7,13,Slots Full,1,,3,0
88,6,14,Slots Full,1,,3,0
89,7,12,Slots Full,1,,3,0
90,17,5,Slots Full,1,,2,0
91,7,15,Slots Full,1,,3,0
92,7,13,Slots Full,1,,3,0
93,1,12,Slots Full,1,,3,0
94,9,3,Slots Full,1,,3,0
95,9,3,Slots Full,1,,3,0
96,4,14,Slots Full,1,,3,0
97,12,2,Slots Full,1,,3,0
98,16,5,Slots Full,1,,3,0
99,9,3,Slots Full,1,,3,0
100,15,7,Slots Full,1,,3,0
101,14,1,Slots Full,1,,3,0
102,1,13,Slots Full,0,,0,0
103,9,3,Slots Full,1,,3,0
104,15,3,Slots Full,1,,3,0
105,4,13,Slots Full,1,,3,0
106,8,13,Slots Full,1,,3,0
107,13,8,Slots Full,1,,3,0
108,5,13,Slots Full,1,,3,0
109,7,14,Slots Full,1,,3,0
110,4,14,Slots Full,1,,3,0
111,12,1,Slots Full,1,,3,0
112,2,13,Slots Full,1,,3,0
113,13,1,Slots Full,1,,3,0
114,16,5,Slots Full,1,,3,0
115,4,14,Slots Full,1,,3,0
116,14,5,Slots Full,1,,3,0
117,6,13,Slots Full,1,,3,0
118,3,13,Slots Full,1,,3,0
119,13,8,Slots Full,1,,3,0
120,4,13,Slots Full,1,,3,0
121,3,13,Slots Full,1,,3,0
122,15,2,Slots Full,1,,3,0
123,1,12,Slots Full,1,,3,0
124,8,14,Slots Full,1,,3,0
125,5,14,Slots Full,1,,3,0
126,1,12,Slots Full,1,,3,0
127,4,13,Slots Full,1,,3,0
128,15,4,Slots Full,1,,3,0
129,10,3,Slots Full,1,,3,0
130,3,11,Slots Full,1,,3,0
131,5,14,Slots Full,1,,3,0
132,14,3,Slots Full,1,,3,0
133,2,12,Slots Full,1,,3,0
134,9,5,Slots Full,1,,3,0
135,1,15,Slots Full,1,,3,0
136,13,6,Slots Full,1,,3,0
137,3,12,Slots Full,1,,3,0
138,13,7,Slots Full,1,,3,0
139,15,7,Slots Full,1,,3,0
140,14,4,Slots Full,1,,3,0
141,12,10,Slots Full,1,,3,0
142,15,2,Slots Full,1,,3,0
143,2,13,Slots Full,1,,3,0
144,13,6,Slots Full,1,,3,0
145,3,13,Slots Full,1,,3,0
146,15,1,Slots Full,1,,3,0
147,4,16,Slots Full,1,,3,0
148,13,2,Slots Full,1,,3,0
149,5,15,Slots Full,0,,0,0
150,12,4,Slots Full,1,,3,0
151,13,4,Slots Full,1,,3,0
152,8,13,Slots Full,1,,3,0
153,12,9,Slots Full,1,,3,0
154,15,8,Slots Full,1,,3,0
155,7,13,Slots Full,1,,3,0
156,9,12,Slots Full,1,,3,0
157,6,16,Slots Full,1,,3,0
158,17,3,Slots Full,1,,3,0
159,5,16,Slots Full,1,,3,0
160,13,5,Slots Full,1,,3,0
161,16,3,Slots Full,1,,3,0
162,3,12,Slots Full,1,,3,0
163,13,4,Slots Full,1,,3,0
164,3,16,Slots Full,1,,3,0
165,13,2,Slots Full,1,,3,0
166,13,2,Slots Full,1,,3,0
167,5,13,Slots Full,1,,3,0
168,6,9,Slots Full,1,,3,0
169,3,15,Slots Full,1,,3,0
170,10,13,Slots Full,1,,3,0
171,4,15,Slots Full,1,,3,0
172,17,5,Slots Full,1,,3,0
173,15,7,Slots Full,1,,3,0
174,5,17,Slots Full,1,,3,0
175,1,15,Slots Full,2,,0,0
176,13,10,Slots Full,1,,3,0
177,14,5,Slots Full,1,,3,0
178,6,16,Slots Full,1,,3,0
179,4,14,Slots Full,1,,2,0
180,8,12,Slots Full,1,,3,0
181,12,2,Slots Full,1,,3,0
182,15,4,Slots Full,1,,3,0
183,3,15,Slots Full,1,,3,0
184,5,13,Slots Full,1,,3,0
185,2,15,Slots Full,0,,0,0
186,13,6,Slots Full,1,,3,0
187,13,7,Slots Full,1,,3,0
188,15,2,Slots Full,1,,3,0
189,15,7,Slots Full,1,,3,0
190,13,7,Slots Full,1,,3,0
191,7,12,Slots Full,1,,3,0
192,12,4,Slots Full,1,,3,0
193,3,15,Slots Full,1,,3,0
194,5,12,Slots Full,1,,3,0
195,1,13,Slots Full,1,,3,0
196,3,13,Slots Full,1,,3,0
197,14,6,Slots Full,1,,3,0
198,13,6,Slots Full,1,,3,0
199,8,12,Slots Full,1,,3,0
200,5,12,Slots Full,1,,3,0
201,8,5,Slots Full,1,,3,0
202,2,13,Slots Full,1,,3,0
203,13,1,Slots Full,1,,3,0
204,16,6,Slots Full,1,,3,0
205,13,4,Slots Full,1,,3,0
206,12,5,Slots Full,1,,3,0
207,5,13,Slots Full,4,,0,0
208,4,16,Slots Full,1,,3,0
209,1,12,Slots Full,0,,1,0
210,10,13,Slots Full,1,,3,0
