#{"t_start": 1677712670.0538328, "env_id": "DeepRMSA-v1"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate,num_C_selected,num_L_selected,num_S_selected,num_E_selected,num_path1_selected,num_path2_selected,num_path3_selected,num_path4_selected,num_path5_selected,total_path_length_per_episode
50,50,0.897354,0.0,0.0,0,49,1,0,0,1,0,49,0,38089
50,50,1.745732,0.0,0.0,0,46,4,0,0,3,0,47,0,39545
50,50,2.343884,0.0,0.0,0,46,4,0,0,2,0,48,0,38168
50,50,3.024725,0.0,0.0,0,46,4,0,0,3,0,47,0,40428
50,50,3.691476,0.0,0.0,0,49,1,0,0,0,0,50,0,38018
50,50,4.557436,0.0,0.0,0,49,1,0,0,0,0,50,0,37935
50,50,5.215787,0.0,0.0,0,50,0,0,0,0,0,50,0,39634
50,50,5.829287,0.0,0.0,0,49,1,0,0,0,0,50,0,37520
50,50,6.444803,0.0,0.0,0,28,19,3,5,7,1,37,0,34287
50,50,7.070907,0.0,0.0,0,29,18,3,5,2,0,43,0,35482
50,50,7.717377,0.0,0.0,0,15,29,6,4,6,1,39,0,36861
50,50,8.388803,0.0,0.0,0,17,28,5,3,7,2,38,0,35430
50,50,9.055377,0.0,0.0,0,20,26,4,4,4,0,42,0,35097
50,50,9.726769,0.0,0.0,0,30,20,0,3,0,1,46,0,37699
50,50,10.418202,0.0,0.0,0,22,27,1,5,1,0,43,1,37537
50,50,11.087738,0.0,0.0,0,22,25,3,3,4,0,42,1,35038
50,50,11.863185,0.0,0.0,0,16,31,3,1,5,0,44,0,34435
50,50,12.92985,0.0,0.0,0,19,27,4,4,3,0,43,0,34486
50,50,14.567799,0.0,0.0,0,17,31,2,1,3,0,44,2,37316
50,50,15.33405,0.0,0.0,0,19,25,6,3,5,0,41,1,34324
50,50,16.020088,0.0,0.0,0,24,25,1,3,0,0,47,0,36961
50,50,16.724514,0.0,0.0,0,19,30,1,0,0,0,50,0,38074
50,50,17.412595,0.0,0.0,0,15,29,6,3,6,0,41,0,36724
50,50,18.141918,0.0,0.0,0,15,32,3,0,2,1,45,2,38406
50,50,18.884418,0.0,0.0,0,18,28,4,3,4,0,43,0,35801
50,50,19.592608,0.0,0.0,0,13,32,5,4,6,0,40,0,35952
50,50,20.325823,0.0,0.0,0,19,20,11,5,11,1,32,1,34079
50,50,21.030947,0.0,0.0,0,27,19,4,9,4,0,37,0,33992
50,50,21.762594,0.0,0.0,0,18,25,7,9,6,1,33,1,33855
50,50,22.466863,0.0,0.0,5,20,18,7,10,12,5,16,7,32387
50,50,23.188552,0.0,0.0,2,19,19,10,16,10,4,14,6,31078
50,50,23.926633,0.0,0.0,3,18,22,7,12,11,1,17,9,30550
50,50,25.256019,0.0,0.0,10,17,13,10,15,14,4,16,1,29827
50,50,26.846544,0.0,0.0,5,15,19,11,9,8,7,19,7,31755
50,50,28.297807,0.0,0.0,9,13,15,13,11,17,1,17,4,31819
50,50,29.034572,0.0,0.0,14,15,15,6,10,18,2,15,5,31367
50,50,29.767564,0.0,0.0,6,16,19,9,11,11,7,14,7,30985
50,50,30.554262,0.0,0.0,10,13,22,5,12,14,2,14,8,32132
50,50,31.297448,0.0,0.0,6,18,17,9,13,17,3,12,5,29273
50,50,32.042021,0.0,0.0,9,14,19,8,11,16,4,14,5,28893
50,50,32.792109,0.0,0.0,12,19,14,5,10,17,3,14,6,30697
50,50,33.584767,0.0,0.0,13,10,12,15,12,16,4,15,3,31988
50,50,34.364799,0.0,0.0,13,14,16,7,8,18,4,17,3,29788
50,50,35.129659,0.0,0.0,9,12,17,12,7,14,4,15,10,33137
50,50,35.897437,0.0,0.0,11,12,20,7,10,10,4,17,9,32095
50,50,36.651014,0.0,0.0,9,17,17,7,3,15,4,23,5,33394
50,50,37.407429,0.0,0.0,7,11,21,11,7,16,7,15,5,33304
48,50,38.247841,0.02,0.011463664278403275,5,17,17,10,9,12,4,16,8,31281
50,50,39.572788,0.0,0.0,6,20,16,8,10,14,4,17,5,29330
50,50,40.816235,0.0,0.0,10,13,15,12,10,11,1,23,5,33510
50,50,41.622911,0.0,0.0,9,5,20,16,8,16,4,19,3,30872
50,50,42.403297,0.0,0.0,7,15,15,13,11,18,2,14,5,29778
50,50,43.239794,0.0,0.0,8,14,17,11,14,11,2,15,8,28737
50,50,44.069426,0.0,0.0,11,14,17,8,9,16,6,11,8,30875
50,50,44.865462,0.0,0.0,11,16,15,8,7,12,8,17,6,33699
50,50,45.669773,0.0,0.0,13,14,12,11,11,17,7,8,7,30768
50,50,46.471042,0.0,0.0,5,12,12,21,12,17,6,15,0,28685
50,50,47.412482,0.0,0.0,8,12,19,11,10,13,1,21,5,31015
50,50,48.242135,0.0,0.0,6,13,20,11,11,11,2,16,10,32211
50,50,49.044384,0.0,0.0,3,16,19,12,11,12,2,19,6,32578
50,50,49.880377,0.0,0.0,8,15,12,15,6,21,2,18,3,30777
50,50,50.718428,0.0,0.0,3,15,17,15,5,19,3,16,7,32014
50,50,52.120038,0.0,0.0,7,12,18,13,8,16,5,14,7,32783
50,50,53.296655,0.0,0.0,10,7,21,12,10,16,5,15,4,29357
50,50,54.097897,0.0,0.0,4,14,18,14,9,13,8,15,5,29930
50,50,54.917353,0.0,0.0,4,14,18,14,14,13,2,17,4,28090
50,50,55.732185,0.0,0.0,5,9,22,14,5,22,4,15,4,32285
50,50,56.523947,0.0,0.0,9,18,14,9,10,11,1,23,5,30911
50,50,57.351075,0.0,0.0,11,15,14,10,10,14,7,13,6,30104
50,50,58.22242,0.0,0.0,9,15,15,11,15,13,6,12,4,28042
50,50,59.112261,0.0,0.0,3,18,16,13,12,14,5,15,4,29911
50,50,59.935659,0.0,0.0,5,9,15,21,15,18,1,13,3,28451
50,50,60.746344,0.0,0.0,10,9,20,11,11,14,3,17,5,30200
50,50,61.56993,0.0,0.0,4,14,13,19,6,19,3,21,1,30378
50,50,62.384671,0.0,0.0,10,13,13,14,12,20,2,13,3,29700
50,50,63.345182,0.0,0.0,7,12,13,18,7,15,7,14,7,31001
50,50,64.749999,0.0,0.0,7,6,22,15,6,18,4,12,10,30550
50,50,65.832549,0.0,0.0,6,11,21,12,13,19,4,10,4,28358
50,50,66.64642,0.0,0.0,11,11,14,14,8,19,2,16,5,33028
50,50,67.450181,0.0,0.0,7,12,12,19,10,19,5,10,6,29523
50,50,68.283485,0.0,0.0,7,15,15,13,8,16,6,14,6,30338
50,50,69.104273,0.0,0.0,3,15,12,20,11,18,3,16,2,29172
50,50,69.954212,0.0,0.0,4,15,17,14,14,12,3,18,3,29268
50,50,70.772742,0.0,0.0,10,10,15,15,15,16,4,12,3,28813
50,50,71.5878,0.0,0.0,5,12,14,19,8,17,5,17,3,30113
50,50,72.421361,0.0,0.0,3,10,11,26,13,17,7,12,1,28773
50,50,73.263741,0.0,0.0,3,15,16,16,9,18,3,19,1,31044
50,50,74.094465,0.0,0.0,2,7,18,23,11,21,4,10,4,29812
50,50,74.948558,0.0,0.0,5,9,13,23,14,18,5,12,1,28364
50,50,76.081654,0.0,0.0,5,5,19,21,13,13,5,15,4,29192
50,50,77.495266,0.0,0.0,6,9,15,20,17,15,3,10,5,28563
50,50,78.520182,0.0,0.0,9,13,14,14,10,20,5,8,7,29977
50,50,79.389074,0.0,0.0,3,13,14,20,8,19,3,15,5,30409
50,50,80.195612,0.0,0.0,2,10,10,28,15,15,4,14,2,28449
50,50,81.092481,0.0,0.0,3,10,11,26,17,10,7,13,3,29697
50,50,81.915321,0.0,0.0,5,10,14,21,14,16,3,11,6,30915
50,50,82.823046,0.0,0.0,5,12,16,17,9,15,4,17,5,31580
50,50,83.689113,0.0,0.0,7,9,17,17,15,16,4,10,5,29101
50,50,84.590227,0.0,0.0,5,18,13,14,11,18,1,16,4,31018
50,50,85.443271,0.0,0.0,6,11,17,16,16,12,2,16,4,31543
50,50,86.293529,0.0,0.0,3,11,17,19,10,21,1,12,6,30952
50,50,87.126116,0.0,0.0,2,10,19,19,10,20,2,11,7,31512
50,50,88.032909,0.0,0.0,1,9,13,27,14,21,4,10,1,28378
50,50,89.417241,0.0,0.0,5,5,12,28,17,24,1,3,5,25923
50,50,90.612785,0.0,0.0,6,10,18,16,7,15,3,18,7,32115
48,50,91.461664,0.02,0.00577638535343646,6,10,12,21,14,16,3,12,4,28644
50,50,92.311452,0.0,0.0,5,8,10,27,10,22,0,16,2,30851
50,50,93.169156,0.0,0.0,5,14,15,16,13,13,4,15,5,30836
50,50,94.031481,0.0,0.0,4,10,14,22,23,10,2,10,5,27967
50,50,94.91133,0.0,0.0,7,10,14,19,16,13,8,10,3,28212
50,50,95.748826,0.0,0.0,3,4,18,25,20,11,4,11,4,27156
50,50,96.576223,0.0,0.0,10,7,17,16,12,18,3,12,5,30028
50,50,97.426277,0.0,0.0,3,16,13,18,16,14,2,14,4,30688
50,50,98.293394,0.0,0.0,5,15,8,22,16,20,2,9,3,28374
50,50,99.139588,0.0,0.0,4,9,16,21,12,15,7,13,3,29875
50,50,99.977719,0.0,0.0,2,9,14,25,9,20,2,14,5,31841
50,50,101.244724,0.0,0.0,4,10,10,26,21,20,1,6,2,25818
50,50,102.650051,0.0,0.0,3,11,14,22,22,11,5,7,5,28345
50,50,103.576077,0.0,0.0,7,12,11,20,7,16,7,15,5,32490
50,50,104.424377,0.0,0.0,7,4,18,21,12,20,2,12,4,29759
50,50,105.260224,0.0,0.0,2,6,21,21,14,15,1,15,5,31662
50,50,106.165312,0.0,0.0,4,5,21,20,20,7,3,16,4,29885
