,Source,Destination,Reason,Path,Nodes,Band,Available_Other
0,13,5,Slots Full,1,,2,1
1,1,15,Slots Full,1,,2,1
2,1,13,Slots Full,1,,3,0
3,3,13,Slots Full,1,,3,0
4,15,4,Slots Full,1,,3,0
5,4,15,Slots Full,1,,3,0
6,7,13,Slots Full,1,,3,0
7,3,16,Slots Full,1,,3,0
8,5,15,Slots Full,1,,3,0
9,5,16,Slots Full,1,,3,0
10,15,3,Slots Full,1,,3,0
11,14,5,Slots Full,1,,3,0
12,5,12,Slots Full,1,,3,0
13,1,14,Slots Full,1,,3,0
14,15,3,Slots Full,1,,2,1
15,5,15,Slots Full,1,,3,0
16,5,16,Slots Full,1,,3,0
17,16,5,Slots Full,1,,3,0
18,13,3,Slots Full,1,,3,0
19,3,13,Slots Full,1,,3,0
20,15,1,Slots Full,1,,3,0
21,5,13,Slots Full,1,,3,0
22,3,15,Slots Full,1,,3,0
