#{"t_start": 1677714840.4380653, "env_id": "DeepRMSA-v1"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate,num_C_selected,num_L_selected,num_S_selected,num_E_selected,num_path1_selected,num_path2_selected,num_path3_selected,num_path4_selected,num_path5_selected,total_path_length_per_episode
50,50,0.614852,0.0,0.0,0,49,1,0,0,1,0,49,0,38089
50,50,1.20855,0.0,0.0,0,46,4,0,0,3,0,47,0,39545
50,50,1.814345,0.0,0.0,0,45,5,0,0,4,0,46,0,37401
50,50,2.437591,0.0,0.0,0,48,2,0,0,1,0,49,0,40627
50,50,3.057863,0.0,0.0,0,48,2,0,0,0,0,50,0,38018
50,50,3.673191,0.0,0.0,0,50,0,0,0,0,0,50,0,37935
50,50,4.284569,0.0,0.0,0,48,2,0,0,1,0,49,0,39604
50,50,4.910698,0.0,0.0,0,43,6,1,0,1,0,49,0,37471
50,50,5.557145,0.0,0.0,0,19,29,2,2,6,0,42,0,36689
50,50,6.273882,0.0,0.0,0,18,32,0,3,5,0,42,0,35532
50,50,7.334036,0.0,0.0,0,12,37,1,2,9,0,38,1,36647
50,50,8.370799,0.0,0.0,0,18,30,2,8,7,1,33,1,34177
50,50,9.118557,0.0,0.0,0,14,34,2,5,5,1,39,0,34774
50,50,9.811447,0.0,0.0,0,17,26,7,3,10,1,36,0,35251
50,50,10.563771,0.0,0.0,0,15,31,4,4,10,0,36,0,35315
50,50,11.274439,0.0,0.0,0,20,27,3,1,7,0,42,0,36104
50,50,12.020054,0.0,0.0,0,11,38,1,2,3,0,45,0,35121
50,50,12.721486,0.0,0.0,0,13,36,1,2,4,0,44,0,36789
50,50,13.457341,0.0,0.0,0,7,43,0,0,0,0,48,2,38878
50,50,14.19243,0.0,0.0,0,11,37,2,5,2,0,42,1,34503
50,50,14.91811,0.0,0.0,0,11,37,2,2,5,0,41,2,36123
50,50,15.644561,0.0,0.0,0,13,36,1,2,3,0,44,1,36009
50,50,16.415858,0.0,0.0,0,21,26,3,13,4,2,31,0,33844
50,50,17.133676,0.0,0.0,5,15,21,9,13,14,4,12,7,30373
50,50,17.85665,0.0,0.0,11,11,18,10,13,16,5,12,4,29154
50,50,18.622926,0.0,0.0,9,11,22,8,11,13,7,12,7,30333
48,50,19.795013,0.02,0.0028517110266159697,10,9,19,11,8,19,5,12,5,28753
50,50,20.972364,0.0,0.0,14,13,21,2,5,17,6,18,4,31256
50,50,21.741415,0.0,0.0,15,10,21,4,9,15,7,12,7,30733
50,50,22.493544,0.0,0.0,12,13,20,5,8,16,6,15,5,30417
50,50,23.25103,0.0,0.0,13,17,12,8,13,18,8,9,2,29885
50,50,24.018567,0.0,0.0,19,11,12,8,12,14,8,10,6,28914
50,50,24.774568,0.0,0.0,12,7,21,10,15,17,2,7,9,27199
50,50,25.530947,0.0,0.0,16,13,16,5,14,17,1,15,3,28913
50,50,26.310274,0.0,0.0,11,15,13,11,24,6,3,11,6,28833
50,50,27.060785,0.0,0.0,11,11,17,11,14,15,6,9,6,28888
50,50,27.8402,0.0,0.0,11,12,16,11,13,13,8,10,6,29791
50,50,28.607754,0.0,0.0,13,14,12,11,14,15,3,15,3,29920
50,50,29.403903,0.0,0.0,11,8,16,15,16,13,8,7,6,28189
50,50,30.185237,0.0,0.0,14,11,9,16,15,21,4,4,6,25654
50,50,31.10648,0.0,0.0,15,10,12,13,16,15,1,10,8,28924
50,50,32.421131,0.0,0.0,7,8,12,23,13,17,5,11,4,28733
50,50,33.561967,0.0,0.0,8,11,13,18,12,13,9,12,4,28752
50,50,34.374898,0.0,0.0,8,5,15,22,7,19,4,18,2,31301
50,50,35.194407,0.0,0.0,7,10,14,19,12,13,8,8,9,29863
50,50,35.98786,0.0,0.0,9,11,8,22,13,18,5,11,3,28134
50,50,36.81562,0.0,0.0,10,13,6,21,13,16,9,8,4,30124
50,50,37.674209,0.0,0.0,8,9,7,26,15,8,9,14,4,29518
50,50,38.515658,0.0,0.0,5,13,10,22,14,19,9,7,1,26604
50,50,39.32988,0.0,0.0,9,8,10,23,15,14,2,12,7,28025
50,50,40.164762,0.0,0.0,8,8,10,24,10,16,9,11,4,29240
50,50,40.989198,0.0,0.0,10,7,12,21,11,17,4,13,5,30118
50,50,41.813932,0.0,0.0,4,11,16,19,12,19,4,11,4,27516
50,50,42.647646,0.0,0.0,9,8,16,17,10,17,6,15,2,29898
50,50,43.650286,0.0,0.0,10,10,11,19,9,14,8,16,3,31722
50,50,45.036177,0.0,0.0,3,9,8,30,13,13,5,14,5,30807
50,50,46.117945,0.0,0.0,8,11,9,22,17,15,4,11,3,26797
50,50,46.975011,0.0,0.0,10,15,7,18,12,16,6,12,4,28449
50,50,47.862221,0.0,0.0,9,14,10,17,15,18,2,15,0,27184
50,50,48.722416,0.0,0.0,3,13,11,23,17,14,6,11,2,26651
50,50,49.591905,0.0,0.0,7,8,11,24,15,15,7,8,5,27259
50,50,50.459053,0.0,0.0,7,12,7,24,14,17,6,11,2,27977
50,50,51.368455,0.0,0.0,5,12,9,24,15,16,8,8,3,28938
50,50,52.234424,0.0,0.0,3,11,10,26,14,15,7,13,1,26393
50,50,53.119914,0.0,0.0,5,9,10,26,7,19,9,12,3,28945
50,50,53.978481,0.0,0.0,4,13,9,24,8,23,6,8,5,27826
50,50,54.835364,0.0,0.0,5,7,7,31,10,18,6,11,5,30867
50,50,55.736189,0.0,0.0,10,10,4,26,8,23,6,10,3,28343
50,50,57.200583,0.0,0.0,6,5,5,34,11,16,7,16,0,28892
50,50,58.434699,0.0,0.0,2,8,9,31,10,25,3,10,2,26560
50,50,59.307567,0.0,0.0,8,8,5,29,10,23,2,11,4,27740
50,50,60.189402,0.0,0.0,3,8,14,25,10,22,3,14,1,30097
50,50,61.08496,0.0,0.0,9,5,10,26,9,21,6,12,2,30627
50,50,61.993808,0.0,0.0,5,10,12,23,5,24,2,17,2,30327
50,50,62.888969,0.0,0.0,5,12,10,23,7,17,5,18,3,31916
46,50,63.752379,0.04,0.051968359087564385,4,5,9,30,11,15,3,17,2,27694
42,50,64.62691,0.08,0.11340302408064215,10,3,13,20,18,9,9,5,5,24613
48,50,65.53789,0.02,0.03756006668628028,7,7,11,24,19,12,3,10,5,26557
40,50,66.438384,0.1,0.1437173825772782,5,8,11,21,10,22,3,6,4,25291
38,50,67.310658,0.12,0.16508078994614003,7,15,6,16,21,13,3,3,4,21063
44,50,68.321881,0.06,0.08367124913460587,6,9,12,20,12,18,8,6,3,26447
48,50,69.847747,0.02,0.03389830508474576,11,3,11,24,10,20,8,10,1,27691
50,50,71.02021,0.0,0.0,10,12,13,15,20,15,4,6,5,26444
38,50,71.945995,0.12,0.15420881193211042,2,11,9,22,18,10,1,12,3,23085
32,50,72.818294,0.18,0.2271679375775847,3,4,14,20,11,11,4,10,5,24693
34,50,73.671714,0.16,0.25052271431286827,5,10,11,16,14,16,1,5,6,20396
38,50,74.558243,0.12,0.1671124318969787,5,5,12,22,16,15,3,7,3,23966
42,50,75.421444,0.08,0.10811069616010725,10,7,10,19,15,14,4,7,6,24245
38,50,76.26468,0.12,0.2042915606680677,3,4,17,20,19,14,1,7,3,20304
30,50,77.096093,0.2,0.20258736861018775,8,3,12,17,18,10,2,6,4,17919
30,50,77.966051,0.2,0.2535752592062925,3,4,13,20,18,10,3,5,4,19301
28,50,78.815252,0.22,0.2652087130087651,7,10,9,13,12,13,2,8,4,20076
32,50,79.636302,0.18,0.20887042062415198,1,14,8,18,23,9,1,3,5,16893
28,50,80.431114,0.22,0.261012913270446,4,8,11,16,12,11,3,9,4,20167
36,50,81.785538,0.14,0.2015411973918198,3,7,18,15,14,18,2,7,2,21553
36,50,83.090876,0.14,0.1675485008818342,6,7,15,15,14,13,2,6,8,23385
28,50,83.97661,0.22,0.23913642627468995,5,7,9,18,14,10,1,9,5,21661
44,50,84.884159,0.06,0.07437147500238983,4,11,5,27,17,18,2,5,5,24575
40,50,85.761471,0.1,0.13158861340679523,3,11,16,15,17,11,3,12,2,25153
42,50,86.691099,0.08,0.10961768219832736,6,9,11,20,18,20,1,5,2,24186
40,50,87.619145,0.1,0.13140800561797752,5,13,13,14,19,14,1,7,4,23385
38,50,88.492998,0.12,0.15789473684210525,7,5,11,21,9,17,7,6,5,24593
42,50,89.396542,0.08,0.12569437906035213,10,11,10,15,16,19,1,8,2,21626
46,50,90.339426,0.04,0.06936903201647632,6,11,11,20,22,10,2,8,6,23767
40,50,91.25063,0.1,0.1433729216152019,5,6,15,19,20,13,4,5,3,22376
46,50,92.184419,0.04,0.07607205795966321,8,11,14,15,17,15,5,5,6,24970
38,50,93.211639,0.12,0.16581755262904932,7,5,17,15,19,16,1,4,4,23163
20,50,94.585359,0.3,0.37892851327145416,4,6,8,17,14,9,5,4,3,16107
34,50,95.769531,0.16,0.25703100855053057,3,7,10,22,9,16,5,7,5,22510
32,50,96.627251,0.18,0.23410082158433917,6,4,13,18,14,15,3,4,5,22057
20,50,97.476001,0.3,0.4142895707729686,5,6,4,20,15,11,3,5,1,16270
32,50,98.403258,0.18,0.2463626685592619,8,9,10,14,19,10,4,6,2,19693
30,50,99.293507,0.2,0.27162150076021824,5,7,9,19,18,14,1,6,1,20746
28,50,100.201207,0.22,0.24811662263966344,5,5,14,15,16,11,3,5,4,19057
36,50,101.126234,0.14,0.1465761663373142,7,3,8,25,24,12,2,2,3,18467
36,50,102.074986,0.14,0.17921113689095128,5,5,10,23,17,15,0,7,4,21841
30,50,102.987374,0.2,0.26961926961926963,8,7,8,17,17,11,2,9,1,20157
42,50,103.917222,0.08,0.11615771163509857,3,7,11,25,26,9,1,9,1,22200
26,50,104.887463,0.24,0.3338266016713092,2,11,7,18,19,7,0,8,4,18481
36,50,106.220856,0.14,0.19096993119049863,4,8,12,19,20,14,1,6,2,19988
32,50,107.716096,0.18,0.2433969185619956,2,11,8,20,16,13,4,6,2,20713
40,50,108.689095,0.1,0.10620960944085417,6,6,15,18,17,18,4,4,2,22274
46,50,109.626762,0.04,0.07715705160701612,6,11,12,19,20,16,5,5,2,23526
40,50,110.559219,0.1,0.13748316336347893,5,16,13,11,16,13,3,9,4,23993
28,50,111.496222,0.22,0.26988746604578967,5,8,9,17,13,15,2,6,3,19719
38,50,112.463064,0.12,0.1887760336513799,7,9,8,20,17,15,5,3,4,21663
42,50,113.427878,0.08,0.11055583885772564,6,8,11,21,26,16,2,1,1,21622
32,50,114.328071,0.18,0.26042924835083153,4,11,9,17,21,14,2,4,0,18504
28,50,115.246959,0.22,0.2436666022046026,6,11,7,15,19,13,2,4,1,16724
44,50,116.176029,0.06,0.10170777988614801,5,7,14,21,23,13,4,5,2,24897
24,50,117.080364,0.26,0.34825174825174826,4,7,11,15,20,9,2,3,3,19034
34,50,118.309235,0.16,0.20232306861156132,7,5,12,18,12,21,2,2,5,20981
