,Source,Destination,Reason,Path,Nodes,Band,Available_Other
0,7,14,Slots Full,1,,2,1
1,14,7,Slots Full,1,,2,1
2,1,12,Slots Full,1,,2,1
3,3,12,Slots Full,1,,3,0
4,4,12,Slots Full,1,,3,0
5,5,17,Slots Full,1,,3,0
6,12,7,Slots Full,2,,3,0
7,6,13,Slots Full,1,,3,0
8,7,13,Slots Full,2,,3,1
9,14,1,Slots Full,1,,3,0
10,12,7,Slots Full,2,,3,0
11,5,13,Slots Full,1,,3,0
12,3,13,Slots Full,1,,3,0
13,3,14,Slots Full,1,,3,0
14,14,4,Slots Full,1,,3,0
15,1,14,Slots Full,1,,3,0
16,5,10,Slots Full,1,,3,0
17,5,16,Slots Full,1,,3,0
18,13,2,Slots Full,1,,3,0
19,16,5,Slots Full,1,,3,0
20,1,14,Slots Full,1,,3,0
21,1,15,Slots Full,1,,3,0
22,17,5,Slots Full,1,,3,0
23,17,3,Slots Full,1,,3,0
24,4,14,Slots Full,1,,3,0
25,14,5,Slots Full,1,,3,0
26,14,4,Slots Full,1,,2,1
27,13,7,Slots Full,2,,3,1
28,17,5,Slots Full,1,,3,0
29,15,5,Slots Full,1,,3,0
30,13,1,Slots Full,1,,3,0
31,14,3,Slots Full,1,,2,0
32,7,13,Slots Full,3,,1,1
33,4,15,Slots Full,1,,3,0
34,7,13,Slots Full,3,,1,1
35,5,12,Slots Full,1,,3,0
36,4,14,Slots Full,1,,3,0
37,12,4,Slots Full,1,,3,0
38,2,12,Slots Full,1,,3,0
39,5,15,Slots Full,1,,3,0
40,6,13,Slots Full,1,,3,0
41,13,4,Slots Full,1,,3,0
42,5,15,Slots Full,1,,3,0
43,15,3,Slots Full,1,,3,0
44,4,14,Slots Full,1,,3,0
45,3,12,Slots Full,1,,3,0
46,7,13,Slots Full,3,,1,1
47,12,6,Slots Full,1,,3,0
48,13,1,Slots Full,1,,3,0
49,4,13,Slots Full,1,,3,0
50,12,3,Slots Full,1,,3,0
51,3,16,Slots Full,0,,0,0
52,14,1,Slots Full,1,,3,0
53,3,15,Slots Full,1,,3,0
54,3,17,Slots Full,1,,3,0
55,2,15,Slots Full,4,,2,0
56,15,3,Slots Full,1,,3,0
57,14,6,Slots Full,1,,3,0
58,4,12,Slots Full,1,,3,0
59,1,13,Slots Full,1,,3,0
60,12,5,Slots Full,4,,0,0
61,12,8,Slots Full,1,,3,0
