,Source,Destination,Reason,Path,Nodes,Band,Available_Other
0,2,15,Slots Full,1,,2,1
1,12,3,Slots Full,1,,3,0
2,13,5,Slots Full,1,,3,0
3,5,12,Slots Full,1,,3,0
4,5,14,Slots Full,1,,3,0
5,14,5,Slots Full,1,,3,0
6,3,12,Slots Full,1,,3,0
7,13,6,Slots Full,1,,3,0
8,4,16,Slots Full,1,,3,0
9,15,4,Slots Full,1,,3,0
10,15,4,Slots Full,1,,3,0
11,7,15,Slots Full,1,,3,0
12,16,4,Slots Full,1,,3,0
13,12,4,Slots Full,1,,3,0
14,5,15,Slots Full,1,,3,0
15,12,2,Slots Full,1,,3,0
16,3,16,Slots Full,1,,3,0
17,7,13,Slots Full,1,,3,0
18,16,4,Slots Full,1,,3,0
19,15,7,Slots Full,1,,3,0
20,15,6,Slots Full,1,,3,0
21,1,12,Slots Full,1,,3,0
22,4,14,Slots Full,1,,3,0
23,1,12,Slots Full,1,,3,0
24,4,14,Slots Full,1,,3,0
25,12,1,Slots Full,1,,3,0
26,2,13,Slots Full,1,,3,0
27,13,1,Slots Full,1,,3,0
28,4,14,Slots Full,1,,3,0
29,14,5,Slots Full,1,,3,0
30,3,13,Slots Full,1,,3,0
31,4,13,Slots Full,1,,3,0
32,3,13,Slots Full,1,,3,0
33,15,2,Slots Full,1,,3,0
34,1,12,Slots Full,1,,3,0
35,3,12,Slots Full,2,,2,0
36,5,14,Slots Full,1,,3,0
37,1,12,Slots Full,1,,3,0
38,4,13,Slots Full,1,,3,0
39,15,4,Slots Full,1,,3,0
40,10,3,Slots Full,1,,3,0
41,14,3,Slots Full,1,,3,0
42,9,5,Slots Full,1,,3,0
43,1,15,Slots Full,1,,3,0
44,13,6,Slots Full,1,,3,0
45,3,12,Slots Full,1,,3,0
46,13,7,Slots Full,1,,3,0
47,15,7,Slots Full,1,,3,0
48,14,4,Slots Full,1,,3,0
49,13,6,Slots Full,1,,3,0
50,15,4,Slots Full,1,,3,0
51,2,13,Slots Full,1,,3,0
52,12,6,Slots Full,1,,3,0
53,15,1,Slots Full,1,,3,0
54,4,16,Slots Full,1,,3,0
55,13,2,Slots Full,1,,3,0
56,12,4,Slots Full,1,,3,0
57,13,4,Slots Full,1,,3,0
58,15,8,Slots Full,1,,3,0
59,7,13,Slots Full,1,,3,0
60,9,13,Slots Full,1,,3,0
61,13,5,Slots Full,1,,3,0
62,13,6,Slots Full,1,,3,0
63,16,3,Slots Full,1,,3,0
64,3,12,Slots Full,1,,3,0
65,13,4,Slots Full,1,,3,0
66,3,16,Slots Full,1,,3,0
67,13,2,Slots Full,1,,3,0
68,5,13,Slots Full,1,,3,0
69,3,15,Slots Full,1,,3,0
70,4,15,Slots Full,1,,3,0
71,1,13,Slots Full,0,,0,0
72,15,7,Slots Full,1,,3,0
73,5,17,Slots Full,1,,3,0
74,1,15,Slots Full,2,,0,0
75,14,5,Slots Full,1,,3,0
76,8,13,Slots Full,1,,3,0
77,4,14,Slots Full,1,,2,0
78,7,15,Slots Full,1,,3,0
79,15,4,Slots Full,1,,3,0
80,3,15,Slots Full,1,,3,0
81,5,13,Slots Full,1,,3,0
82,13,7,Slots Full,1,,3,0
83,15,2,Slots Full,1,,3,0
84,3,12,Slots Full,1,,3,0
85,15,7,Slots Full,1,,3,0
86,13,7,Slots Full,1,,3,0
87,7,12,Slots Full,1,,3,0
88,3,15,Slots Full,1,,3,0
89,5,12,Slots Full,1,,3,0
90,3,13,Slots Full,1,,3,0
91,6,15,Slots Full,1,,3,0
92,14,6,Slots Full,1,,3,0
93,5,12,Slots Full,1,,3,0
94,2,13,Slots Full,1,,3,0
95,13,1,Slots Full,1,,3,0
96,4,13,Slots Full,1,,3,0
97,13,4,Slots Full,1,,3,0
98,13,4,Slots Full,1,,3,0
99,12,5,Slots Full,1,,3,0
100,5,13,Slots Full,4,,0,0
101,4,16,Slots Full,1,,3,0
102,6,12,Slots Full,1,,3,0
103,10,13,Slots Full,1,,3,0
104,13,4,Slots Full,1,,3,0
105,13,3,Slots Full,1,,3,0
106,5,12,Slots Full,1,,3,0
107,3,17,Slots Full,1,,3,0
108,15,4,Slots Full,1,,3,0
109,4,15,Slots Full,1,,3,0
110,15,7,Slots Full,1,,3,0
111,2,14,Slots Full,1,,3,0
112,13,4,Slots Full,1,,3,0
113,15,1,Slots Full,1,,3,0
114,4,16,Slots Full,1,,3,0
115,14,5,Slots Full,1,,3,0
116,4,15,Slots Full,1,,3,0
117,13,8,Slots Full,1,,3,0
118,5,15,Slots Full,1,,3,0
119,17,6,Slots Full,1,,3,0
120,15,2,Slots Full,4,,2,0
121,12,1,Slots Full,1,,3,0
122,15,5,Slots Full,1,,3,0
123,3,12,Slots Full,1,,3,0
124,13,3,Slots Full,0,,1,0
125,15,4,Slots Full,1,,3,0
126,13,2,Slots Full,1,,3,0
127,6,14,Slots Full,1,,2,0
128,5,12,Slots Full,1,,3,0
129,1,14,Slots Full,1,,3,0
130,16,3,Slots Full,1,,3,0
131,12,10,Slots Full,1,,3,0
132,6,15,Slots Full,1,,3,0
133,5,15,Slots Full,1,,3,0
134,17,5,Slots Full,1,,3,0
135,16,3,Slots Full,1,,3,0
136,5,17,Slots Full,1,,3,0
137,15,6,Slots Full,1,,3,0
138,12,5,Slots Full,1,,3,0
139,4,13,Slots Full,1,,3,0
140,15,6,Slots Full,1,,3,0
141,4,16,Slots Full,1,,3,0
142,4,13,Slots Full,1,,3,0
143,15,2,Slots Full,2,,3,1
144,14,6,Slots Full,1,,3,0
145,3,16,Slots Full,1,,3,0
146,2,12,Slots Full,1,,3,0
147,13,1,Slots Full,1,,3,0
148,13,7,Slots Full,1,,3,0
149,6,16,Slots Full,1,,3,0
150,14,7,Slots Full,1,,3,0
151,7,13,Slots Full,1,,3,0
152,4,15,Slots Full,1,,3,0
153,16,1,Slots Full,1,,3,0
154,7,15,Slots Full,1,,3,0
155,2,14,Slots Full,1,,3,0
156,1,15,Slots Full,1,,3,0
157,8,15,Slots Full,1,,3,0
158,13,8,Slots Full,1,,3,0
159,3,14,Slots Full,1,,3,0
160,17,5,Slots Full,1,,3,0
161,14,1,Slots Full,1,,3,0
162,4,14,Slots Full,1,,3,0
163,15,5,Slots Full,1,,3,0
164,15,1,Slots Full,1,,3,0
165,17,5,Slots Full,1,,3,0
166,16,5,Slots Full,1,,3,0
167,15,3,Slots Full,1,,3,0
168,1,15,Slots Full,1,,3,0
169,7,3,Slots Full,1,,3,0
170,7,14,Slots Full,1,,3,0
171,4,13,Slots Full,1,,3,0
172,4,15,Slots Full,1,,3,0
173,13,3,Slots Full,1,,3,0
174,15,4,Slots Full,1,,3,0
175,5,16,Slots Full,1,,3,0
176,13,7,Slots Full,2,,3,0
177,13,3,Slots Full,1,,3,0
178,6,13,Slots Full,1,,3,0
179,12,4,Slots Full,1,,3,0
180,5,17,Slots Full,1,,3,0
181,3,15,Slots Full,1,,3,0
182,14,6,Slots Full,1,,3,0
183,15,2,Slots Full,1,,3,0
184,12,9,Slots Full,1,,3,0
185,14,5,Slots Full,1,,3,0
186,17,6,Slots Full,1,,3,0
187,5,17,Slots Full,1,,3,0
188,12,2,Slots Full,1,,3,0
189,3,9,Slots Full,1,,3,0
190,12,6,Slots Full,1,,3,0
191,8,15,Slots Full,1,,3,0
192,14,7,Slots Full,1,,3,0
193,12,7,Slots Full,2,,3,0
194,5,10,Slots Full,1,,3,0
195,13,2,Slots Full,1,,3,0
196,9,12,Slots Full,1,,3,0
197,1,17,Slots Full,1,,3,0
198,3,14,Slots Full,1,,3,0
199,14,8,Slots Full,1,,3,0
200,17,1,Slots Full,1,,3,0
201,13,3,Slots Full,1,,3,0
202,5,12,Slots Full,1,,3,0
203,1,12,Slots Full,1,,3,0
204,14,7,Slots Full,1,,3,0
205,13,5,Slots Full,1,,3,0
206,5,12,Slots Full,1,,3,0
207,13,5,Slots Full,1,,3,0
208,6,13,Slots Full,1,,3,0
209,3,17,Slots Full,1,,3,0
210,16,1,Slots Full,1,,3,0
211,13,5,Slots Full,1,,3,0
212,16,5,Slots Full,1,,3,0
213,8,15,Slots Full,1,,3,0
214,7,3,Slots Full,1,,3,0
215,16,3,Slots Full,1,,3,0
216,10,3,Slots Full,1,,3,0
217,13,3,Slots Full,1,,3,0
218,17,5,Slots Full,1,,3,0
219,14,4,Slots Full,1,,2,0
220,7,3,Slots Full,1,,3,0
221,17,5,Slots Full,1,,3,0
222,1,12,Slots Full,1,,3,0
223,13,8,Slots Full,1,,3,0
224,6,16,Slots Full,1,,3,0
225,9,3,Slots Full,1,,3,0
226,8,14,Slots Full,1,,3,0
227,15,2,Slots Full,1,,3,0
228,12,4,Slots Full,1,,3,0
229,8,13,Slots Full,1,,3,0
230,17,5,Slots Full,1,,3,0
231,15,8,Slots Full,1,,3,0
232,15,8,Slots Full,1,,3,0
233,3,17,Slots Full,1,,3,0
234,15,3,Slots Full,1,,3,0
235,13,2,Slots Full,1,,3,0
236,3,14,Slots Full,1,,3,0
237,2,16,Slots Full,1,,3,0
238,14,4,Slots Full,1,,3,0
239,15,3,Slots Full,1,,3,0
240,12,1,Slots Full,1,,3,0
241,15,5,Slots Full,1,,3,0
242,15,8,Slots Full,1,,3,0
243,13,3,Slots Full,1,,3,0
244,6,13,Slots Full,1,,3,0
245,7,12,Slots Full,2,,3,0
246,13,6,Slots Full,1,,3,0
247,3,16,Slots Full,1,,3,0
248,1,16,Slots Full,1,,3,0
249,7,12,Slots Full,2,,3,0
250,13,2,Slots Full,1,,3,0
251,13,4,Slots Full,1,,0,0
252,4,15,Slots Full,1,,3,0
253,4,14,Slots Full,1,,3,0
254,4,15,Slots Full,1,,3,0
255,3,16,Slots Full,1,,3,0
256,14,5,Slots Full,1,,3,0
